LPA,Total number of dwellings (000s)
Aberdeen City,117
Aberdeenshire,118
Angus,56
Argyll and Bute,48
Clackmannanshire,24
Dumfries and Galloway,75
Dundee City,74
East Ayrshire,58
East Dunbartonshire,47
East Lothian,48
East Renfrewshire,39
City of Edinburgh,248
Falkirk,75
Fife,176
Glasgow City,310
Highland,118
Inverclyde,39
Midlothian,40
Moray,45
Na h-Eileanan Siar,15
North Ayrshire,68
North Lanarkshire,155
Orkney Islands,11
Perth and Kinross,72
Renfrewshire,87
Scottish Borders,58
Shetland Islands,11
South Ayrshire,55
South Lanarkshire,151
Stirling,41
West Dunbartonshire,45
West Lothian,79
