LPA,Local Authority (Number) (12),Registered Social Landlord (Number) (13),Owner occupied/Privately rented (Number) ,All tenures (Number) 
Isle of Anglesey,3807,935,30064,34806
Gwynedd,0,8639.333333,53482.66667,62122
Conwy,0,6209.333333,51253.66667,57463
Denbighshire,3377,2267.333333,37694.66667,43339
Flintshire,7219,2654.666667,58291.33333,68165
Wrexham,11156,1994.666667,47387.33333,60538
Powys,5333,3081.666667,56331.33333,64746
Ceredigion,0,3332.666667,32135.33333,35468
Pembrokeshire,5664.333333,2479,54281.66667,62425
Carmarthenshire,9091,3141.333333,75609.66667,87842
Swansea,13528,7489.666667,90522.33333,111540
Neath Port Talbot,0,12368.33333,53135.66667,65504
Bridgend,0,8767.666667,55343.33333,64111
Vale of Glamorgan,3889.333333,3066.666667,51539,58495
Cardiff,13424.33333,11694,126535.6667,151654
Rhondda Cynon Taf,0,15515.33333,92572.66667,108088
Merthyr Tydfil,0,5820.333333,21119.66667,26940
Caerphilly,10801,3966.666667,64236.33333,79004
Blaenau Gwent,0,7847.666667,24772.33333,32620
Torfaen,0,10025.66667,31498.33333,41524
Monmouthshire,0,5437.333333,36318.66667,41756
Newport,0,13146.66667,54600.33333,67747
