new2kid,grass_ha,sng_ha,wood_ha,urban_ha,arable_ha,freshwater_ha,marine_ha,coast_ha,ocean_ha
"20549",0,326.875,0,0,0,0,2.5,4.25,66.375
"21199",9.0625,353.9375,0,0,0,12.3125,0,10.3125,14.375
"21200",59.0625,140.9375,0,0,3.75,2.4375,0,83.5625,110.25
"21849",25.3125,349.9375,2.125,0,1.125,0.8125,0,5.25,15.4375
"21850",39.3125,358.5,1.25,0,0.3125,0.625,0,0,0
"21851",33.3125,352.125,0,0,1.125,2.5625,0,10.8125,0.0625
"21852",28.1875,128.625,0,0,4.75,5.375,1.125,29.3125,202.625
"22499",13.3125,336.25,0,0,1.4375,2.1875,0,8.875,37.9375
"22500",2.3125,397.6875,0,0,0,0,0,0,0
"22501",2.5,384.125,1.3125,0,0,12.0625,0,0,0
"22502",0,278.0625,0,0,0,0,0,80.75,41.1875
"23150",10.9375,292.625,0.75,0,2.875,16.75,0,12.4375,63.625
"23151",2.75,298.1875,1,0,1.9375,3.875,1.375,40.9375,49.9375
"23184",10.25,62.25,0,0,0.8125,1.0625,4.375,235.875,85.375
"23185",67.125,120.1875,11.8125,1.3125,0,42,0,104.0625,53.5
"23809",23.25,97.5625,0,0,1.3125,0,7.1875,107.6875,163
"23810",46.125,63.625,0,0.875,0,6.25,0,83.625,199.5
"23811",46.1875,143.8125,0,0.5,0,22.625,0,81.0625,105.8125
"23812",64.5,134.5625,0,0.6875,0,20.625,0,95.25,84.375
"23813",32.3125,127.6875,6.5625,0.6875,0,56.5,0,95.4375,80.8125
"23814",11.8125,117,0,0,0,96.5,0,150.25,24.4375
"23815",17.6875,87.5,2.0625,2.125,0,18.875,5.75,126.6875,139.3125
"23833",43.5625,86.5,0.1875,0,0.8125,0,0,240.3125,28.625
"23834",91.8125,204.1875,1.375,0,2.25,22.1875,1.125,77.0625,0
"23835",63.1875,261.8125,14.4375,0,0,54.5625,0,6,0
"23836",86.75,244.375,5,0,0,30.6875,0,33.1875,0
"23837",41.75,237.375,0.5625,0,0,14.5625,0.8125,37.375,67.5625
"24457",36.875,235.6875,1.375,0,2.5625,14.75,0,49.25,59.5
"24458",109.6875,256.8125,7.4375,0,0.75,18.5625,0,6.75,0
"24459",53.5625,261.75,7.4375,0,0,71.625,0,5.625,0
"24460",102.75,228.8125,3.0625,0,0,59.5,0,5.875,0
