new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha
"20549",1.25,0,320.9375,0,77.8125
"21199",116.5625,0,247.8125,8.3125,27.3125
"21200",172.0625,0,56.125,0,171.8125
"21849",122.6875,0,255.25,3.3125,18.75
"21850",69.875,55.5625,274.5625,0,0
"21851",198.125,0,196.9375,0,4.9375
"21852",123,0,53,0,224
"22499",129.4375,8.0625,221.3125,0,41.1875
"22500",2.6875,2.5,394.8125,0,0
"22501",21.6875,11.4375,366.875,0,0
"22502",39.0625,0,265.375,0,95.5625
"23150",110.25,5.125,209.8125,1.125,73.6875
"23151",199.75,1,123.6875,0.8125,74.75
"23184",117,0,0,0,283
"23185",247.4375,0,3.25,1.125,148.1875
"23809",124.0625,0,0,0,275.9375
"23810",122.5625,0,0,0,277.4375
"23811",162.5625,0,23.8125,0,213.625
"23812",248,0,0,0,152
"23813",184.3125,0,0.3125,0,215.375
"23814",146.625,0,34.875,0,218.5
"23815",116.6875,0,0,0,283.3125
"23833",137,0,0,0,263
"23834",316.125,0,7.0625,0,76.8125
"23835",269.75,0,83.25,0,47
"23836",191,0,152.625,0,56.375
"23837",177.375,0,123.25,0,99.375
"24457",293.9375,0,1.875,1.5,102.6875
"24458",382,0,0,0.625,17.375
"24459",301.75,0,36.8125,1.625,59.8125
"24460",363.0625,0,2,1.75,33.1875
"24461",168.4375,0,203.1875,0,28.375
"24462",204.0625,0,183.8125,0,12.125
"24463",199.6875,7.1875,158.4375,0,34.6875
"24464",173.5625,0.1875,181.75,0,44.5
"24465",283.8125,0,48.125,0,68.0625
"24466",278.25,0,64.9375,0,56.8125
"24467",258.375,0,13.3125,0,128.3125
"24468",168.625,0,0,0,231.375
"24471",166.3125,0,0,0,233.6875
"24472",321,0,0,0,79
"24484",210.5625,0,157.625,0,31.8125
"24485",98.25,0,275.5625,0,26.1875
"24486",12.75,0,387.25,0,0
"24487",119.75,0,251.0625,0,29.1875
"25107",97.375,0,277.5,0,25.125
"25108",80.25,0,305.625,0,14.125
"25110",182.75,0,182.375,0,34.875
"25111",0,0,397.4375,0,2.5625
"25112",0,0,400,0,0
"25113",28.5625,1.1875,341.125,0,29.125
"25114",170.5,0,120.125,0,109.375
"25115",42.3125,0,294.5,0,63.1875
"25116",6.6875,0,384.9375,0,8.375
"25117",174.8125,0,191.125,0,34.0625
"25118",211.5625,0,100.3125,0,88.125
"25119",211.4375,0,69.375,0,119.1875
"25120",308.3125,0,58.125,0,33.5625
"25121",129.25,0,15.9375,0,254.8125
"25122",162,0,2.4375,0,235.5625
"25123",132.4375,0,0,0,267.5625
"25125",275.125,0,0,0,124.875
"25126",241.75,0,76.125,0,82.125
"25127",257.875,0,0,18.875,123.25
"25133",187.3125,0,56.1875,0,156.5
"25134",54.0625,0,300.3125,0,45.625
"25135",4.4375,81.8125,313.75,0,0
"25136",6.875,295.5,67.8125,0,29.8125
"25757",81.6875,0,271.8125,0,46.5
"25758",64.8125,0,285.5625,0,49.625
"25760",64.75,0,296.25,0,39
"25761",0,0,358.1875,0,41.8125
"25762",0,0,381.0625,0,18.9375
"25763",0,0,327.25,0,72.75
"25764",21.6875,0,304.875,0,73.4375
"25765",0,0,394.75,0,5.25
"25766",0,0,400,0,0
"25767",0,0,388.0625,0,11.9375
"25768",0,0,265.9375,0,134.0625
"25769",0,0,338.6875,0,61.3125
"25770",17.625,0,311.75,0,70.625
"25771",25.8125,0,204.375,0,169.8125
"25772",188.625,0,125,0.375,86
"25773",196.1875,0,0,3.25,200.5625
"25775",342.8125,0,18.9375,0,38.25
"25776",99.0625,0,230.3125,0,70.625
"25777",344.3125,0,0,2.1875,53.5
"25778",166.5,0,0,0,233.5
"25782",180.4375,0,34.875,0,184.6875
"25783",10.4375,0,373.625,0,15.9375
"25784",42.625,0,345,0,12.375
"25785",0,91.9375,308.0625,0,0
"25786",145.8125,62.3125,109.25,4.6875,77.9375
"26407",0,0,378.625,0,21.375
"26408",0,0,372.6875,0,27.3125
"26409",0,0,214.875,0,185.125
"26410",0,0,399.125,0,0.875
"26411",0,0,373,0,27
"26412",0,0,366.25,0,33.75
"26414",0,0,355.4375,0,44.5625
"26415",0,0,400,0,0
"26416",0,0,400,0,0
"26417",0,0,399.3125,0,0.6875
"26418",0,0,365.75,0,34.25
"26419",0.8125,0,363.25,0,35.9375
"26420",0,0,327.5,0,72.5
"26421",50.4375,0,292,0,57.5625
"26422",209.125,0,56.8125,0,134.0625
"26424",218.8125,0,123.3125,0,57.875
"26425",41.25,0,279.9375,0,78.8125
"26426",86.5,0,253.5625,0,59.9375
"26427",227.75,0,63.375,0,108.875
"26431",206.125,0,52.5,4.3125,137.0625
"26432",148,0,197.875,0.125,54
"26433",0,0,333.5,0,66.5
"26434",0,0,400,0,0
"26435",0,0,400,0,0
"26436",60.3125,0,324.6875,0,15
"26437",346.4375,0,11.875,0,41.6875
"27057",0,0,344.3125,0,55.6875
"27060",0,0,182.4375,0,217.5625
"27064",0,0,222.3125,0,177.6875
"27065",0,0,339.5,0,60.5
"27066",0,0,378.625,0,21.375
"27067",0,0,400,0,0
"27068",0,0,369.25,0,30.75
"27069",9.1875,0,289.6875,0,101.125
"27070",20.25,0,283.375,0,96.375
"27074",38.25,0,271.375,0,90.375
"27075",0,0,321.6875,0,78.3125
"27076",0,0,336.125,0,63.875
"27077",139.75,0,131.375,1.25,127.625
"27080",84.75,0,248.5,1.75,65
"27081",30.0625,0,261.0625,3.9375,104.9375
"27082",102,0,201.0625,3.6875,93.25
"27083",2.9375,0,297.5,0,99.5625
"27084",0,0,375.75,0,24.25
