new2kid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"20549",0,0,0,0,3619,0,0,175,0,0,1436,0,0,0,40,0,68,0,0,0,0,0,0
"21199",0,0,0,145,3183,0,0,114,0,0,2057,274,0,35,0,197,63,22,24,56,0,0,0
"21200",0,0,60,945,1728,0,34,78,0,0,288,109,0,18,0,39,484,591,72,190,0,0,0
"21849",0,34,18,405,2756,0,0,809,0,0,1824,111,0,99,0,13,0,0,62,22,0,0,0
"21850",0,20,5,629,3377,0,0,680,0,0,1377,240,0,62,0,10,0,0,0,0,0,0,0
"21851",0,0,18,533,2937,0,0,103,0,0,2594,0,0,0,0,41,0,173,0,0,0,0,0
"21852",0,0,76,451,1592,0,0,186,0,0,215,0,0,65,18,86,49,191,157,72,0,0,0
"22499",0,0,23,213,1597,0,0,381,0,54,3206,131,0,11,0,35,49,0,3,73,17,0,0
"22500",0,0,0,37,800,0,0,393,0,340,4561,264,0,5,0,0,0,0,0,0,0,0,0
"22501",0,21,0,40,818,0,0,24,0,206,4901,54,0,143,0,193,0,0,0,0,0,0,0
"22502",0,0,0,0,2274,0,0,0,0,21,2154,0,0,0,0,0,64,514,38,676,0,0,0
"23150",0,12,46,175,847,0,0,0,0,693,3043,61,0,38,0,268,58,0,67,74,0,0,0
"23151",0,16,31,44,1448,0,0,0,0,127,2414,526,0,256,22,62,13,13,313,294,22,0,0
"23184",0,0,13,164,976,0,0,0,0,0,20,0,0,0,70,17,0,2816,105,853,0,0,0
"23185",48,141,0,1074,1771,0,0,0,0,0,127,25,0,0,0,672,0,745,281,639,0,21,0
"23809",0,0,21,372,719,0,0,0,842,0,0,0,0,0,115,0,261,861,305,218,78,0,0
"23810",0,0,0,738,1018,0,0,0,0,0,0,0,0,0,0,100,0,1126,77,135,0,0,14
"23811",0,0,0,739,1524,0,0,0,0,0,233,452,0,92,0,362,0,877,0,420,0,0,8
"23812",0,0,0,1032,1719,0,0,0,0,0,258,116,0,60,0,330,0,1115,16,393,0,11,0
"23813",16,89,0,517,1654,0,0,0,0,23,21,96,0,249,0,904,19,897,241,332,38,11,0
"23814",0,0,0,189,1263,0,0,0,0,0,157,87,0,365,0,1544,0,2133,0,242,29,0,0
"23815",0,33,0,283,1311,0,0,0,0,0,39,40,0,10,92,302,15,1554,12,446,0,34,0
"23833",0,3,13,697,1303,0,0,0,0,8,73,0,0,0,0,0,0,3125,67,653,0,0,0
"23834",0,22,36,1469,2408,0,0,0,0,86,392,360,0,21,18,355,0,640,13,524,56,0,0
"23835",87,144,0,1011,3355,0,0,0,0,105,380,349,0,0,0,873,0,78,18,0,0,0,0
"23836",33,47,0,1388,1814,0,0,0,0,0,2080,0,0,16,0,491,0,509,22,0,0,0,0
"23837",0,9,0,668,1436,0,0,0,0,0,1915,431,0,16,13,233,0,68,472,58,0,0,0
"24457",0,22,41,590,3178,0,0,0,0,0,381,191,0,21,0,236,0,134,321,333,0,0,0
"24458",29,90,12,1755,2598,0,0,0,3,210,1213,65,0,20,0,297,0,53,0,0,55,0,0
"24459",0,119,0,857,1980,0,0,0,53,7,619,1335,0,194,0,1146,0,0,0,0,90,0,0
"24460",0,49,0,1644,1909,0,0,0,0,0,579,1073,0,100,0,952,0,66,0,10,18,0,0
"24461",0,0,0,31,414,0,0,0,0,25,2089,3046,0,131,0,664,0,0,0,0,0,0,0
"24462",20,51,0,248,1665,0,0,44,0,0,797,3326,0,0,0,249,0,0,0,0,0,0,0
"24463",0,8,0,786,933,0,0,71,0,45,2084,1822,0,41,0,575,0,35,0,0,0,0,0
"24464",10,10,0,276,1349,0,0,0,0,134,3374,360,0,13,0,846,0,28,0,0,0,0,0
"24465",0,10,17,804,2357,0,0,0,0,39,1665,132,0,173,0,1158,0,45,0,0,0,0,0
"24466",0,24,0,1413,1812,0,0,0,0,55,1304,545,0,176,0,1019,0,9,11,11,0,0,21
"24467",0,36,0,348,2511,0,0,0,71,23,284,224,0,127,74,1407,221,542,22,121,0,0,0
"24468",0,0,0,107,1011,0,0,0,0,0,0,0,0,0,0,53,438,1812,11,235,17,0,0
"24471",0,0,0,40,157,0,0,0,0,0,0,0,0,0,0,0,0,2906,0,473,3,0,0
"24472",0,0,0,756,1350,0,0,0,0,0,0,2,0,11,0,48,0,3153,0,601,0,14,0
"24484",0,11,0,365,2176,0,0,0,0,62,169,2977,0,0,32,353,0,73,32,116,34,0,0
"24485",0,45,0,106,1681,0,0,0,0,0,1761,2390,0,0,0,417,0,0,0,0,0,0,0
"24486",0,0,0,73,157,0,0,0,0,0,3738,2431,0,0,0,0,0,0,0,0,0,0,0
"24487",0,0,1,49,563,0,0,0,0,31,1105,4130,0,0,17,285,0,29,25,87,78,0,0
"25107",0,10,12,19,1939,0,0,96,0,281,2717,809,0,70,0,266,0,3,10,168,0,0,0
"25108",0,0,0,24,1178,0,0,0,0,269,3891,619,0,28,0,32,0,0,117,87,0,0,0
"25110",0,0,0,101,1072,0,0,0,0,29,838,3466,0,63,0,721,0,1,6,97,0,0,0
"25111",0,0,0,0,48,0,0,0,0,30,2799,3382,0,27,0,114,0,0,0,0,0,0,0
"25112",0,0,0,0,2,0,0,0,0,233,2123,4010,0,0,0,32,0,0,0,0,0,0,0
"25113",0,0,0,12,127,0,0,0,0,468,3430,1815,0,0,143,65,0,0,29,147,3,0,0
"25114",0,0,0,7,413,0,0,0,0,128,2412,1213,0,162,446,499,0,50,132,320,146,0,0
"25115",0,0,0,65,139,0,0,0,0,149,2608,2429,0,9,0,1001,0,0,0,0,0,0,0
"25116",0,0,0,0,791,0,0,0,0,65,975,4415,0,21,0,133,0,0,0,0,0,0,0
"25117",0,51,0,246,2055,0,0,0,0,71,1974,1212,0,73,0,705,0,13,0,0,0,0,0
"25118",16,15,0,760,1924,0,0,0,0,330,1742,118,0,42,0,1420,0,12,0,0,21,0,0
"25119",0,47,18,1857,740,0,0,0,0,11,889,505,0,182,0,2067,0,12,0,44,28,0,0
"25120",30,11,15,1391,2526,0,0,0,0,48,932,337,0,124,0,615,0,342,0,8,11,10,0
"25121",0,77,0,175,955,0,0,0,0,0,50,214,0,123,0,3902,0,881,0,9,14,0,0
