new2kid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"20549",0,0,0,20,0,0,0,0,0,4803,0,0,0,0,504,0,0,11,0,0,0
"21199",0,0,0,1956,0,0,0,0,0,4008,0,0,0,0,197,0,0,0,0,0,10
"21200",0,0,0,2964,0,0,0,0,0,893,0,0,0,0,419,290,0,70,0,0,0
"21849",0,14,0,1681,0,0,82,0,0,4321,0,0,0,0,40,0,0,0,0,0,15
"21850",0,10,0,1047,0,0,317,0,0,5026,0,0,0,0,0,0,0,0,0,0,0
"21851",0,0,0,2597,0,0,0,0,0,3763,0,0,0,0,0,39,0,0,0,0,0
"21852",0,0,0,1975,0,0,0,0,0,857,0,0,0,0,273,0,0,94,0,0,0
"22499",104,0,0,1666,0,0,130,0,0,3813,0,0,0,0,87,0,0,0,0,0,0
"22500",0,0,0,0,0,0,160,0,0,6240,0,0,0,0,0,0,0,0,0,0,0
"22501",183,0,0,246,0,0,0,0,0,5962,9,0,0,0,0,0,0,0,0,0,0
"22502",0,0,0,123,0,0,0,0,0,4246,0,0,0,0,110,604,0,686,0,0,0
"23150",26,0,0,2624,0,0,0,0,0,2415,167,0,0,0,140,0,0,0,0,0,0
"23151",60,0,0,3212,0,0,0,0,0,1927,0,0,0,0,387,16,0,0,0,0,0
"23184",0,0,0,1892,0,0,0,0,0,0,0,0,0,17,0,2135,218,745,27,0,0
"23185",0,0,0,4031,0,0,0,0,0,0,9,0,0,665,0,170,244,426,0,0,0
"23809",0,0,0,1933,0,0,0,0,0,0,0,0,38,0,0,1034,381,406,0,0,0
"23810",0,0,0,2487,0,0,0,0,0,0,0,0,13,69,0,443,64,288,0,0,0
"23811",0,0,0,1966,0,0,0,0,0,0,497,0,0,346,0,1498,0,400,0,0,0
"23812",0,0,0,3288,0,0,0,0,0,0,0,0,10,292,0,1011,24,425,0,0,0
"23813",0,0,0,2794,0,0,0,0,0,0,5,0,0,935,0,746,254,373,0,0,0
"23814",0,0,0,2255,0,0,0,0,0,0,582,0,0,1463,0,1285,0,424,0,0,0
"23815",0,0,0,1867,0,0,0,0,0,0,0,0,0,243,0,1540,91,430,0,0,0
"23833",0,0,0,2256,0,0,0,0,0,0,0,0,0,0,0,2843,61,782,0,0,0
"23834",0,0,0,5128,0,0,0,0,0,10,64,0,0,344,0,161,2,438,253,0,0
"23835",0,0,0,4219,0,0,0,0,0,0,1393,0,0,788,0,0,0,0,0,0,0
"23836",0,0,0,3425,0,0,0,0,0,2001,383,0,0,466,0,122,0,3,0,0,0
"23837",0,0,0,2448,0,0,0,0,0,2349,0,0,0,233,46,18,205,20,0,0,0
"24457",0,0,0,4717,0,0,0,0,0,0,30,0,0,200,0,0,283,218,0,0,0
"24458",0,0,0,6122,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0
"24459",0,0,0,4880,0,0,0,0,0,465,11,0,0,1044,0,0,0,0,0,0,0
"24460",0,0,0,5667,0,0,0,0,0,0,85,0,0,648,0,0,0,0,0,0,0
"24461",0,0,0,3004,0,0,0,0,0,1832,987,0,0,577,0,0,0,0,0,0,0
"24462",0,0,0,3106,0,0,0,0,0,1507,1593,0,0,194,0,0,0,0,0,0,0
"24463",0,0,0,3071,0,0,0,0,0,2339,435,0,0,555,0,0,0,0,0,0,0
"24464",0,0,0,2762,0,0,0,0,0,2208,731,0,0,699,0,0,0,0,0,0,0
"24465",0,0,0,4718,0,0,0,0,0,0,589,0,0,1093,0,0,0,0,0,0,0
"24466",0,0,0,4753,0,0,0,0,0,2,736,0,0,909,0,0,0,0,0,0,0
"24467",0,0,0,4239,0,0,0,0,0,0,46,0,0,1327,0,156,46,197,0,0,0
"24468",0,0,0,2652,0,0,0,0,0,0,0,0,0,53,0,338,54,587,0,0,0
"24471",0,0,0,2874,0,0,0,0,0,0,0,0,0,0,0,42,0,805,0,0,0
"24472",0,0,0,5157,0,0,0,0,0,0,0,0,0,46,0,185,0,548,0,0,0
"24484",0,0,0,3521,0,0,0,0,0,0,2396,0,0,351,0,0,63,69,0,0,0
"24485",0,0,0,1972,0,0,0,0,0,981,3028,0,0,419,0,0,0,0,0,0,0
"24486",0,0,0,374,0,0,0,0,0,5920,106,0,0,0,0,0,0,0,0,0,0
"24487",0,0,0,2013,0,0,0,0,0,2411,1509,0,0,240,0,0,37,190,0,0,0
"25107",0,0,0,1547,0,0,0,0,0,4441,8,0,0,246,0,0,10,148,0,0,0
"25108",0,0,0,1998,0,0,0,0,0,4127,49,0,0,0,0,0,226,0,0,0,0
"25110",0,0,0,3210,0,0,0,0,0,0,2457,0,0,641,0,0,92,0,0,0,0
"25111",0,0,0,0,0,0,0,0,0,4419,1866,0,0,115,0,0,0,0,0,0,0
"25112",0,0,0,0,0,0,0,0,0,5135,1236,0,0,29,0,0,0,0,0,0,0
"25113",0,0,0,383,0,0,0,0,198,4981,372,0,0,0,0,0,299,0,0,0,0
"25114",0,0,0,2357,0,0,0,0,0,2202,24,0,0,340,0,0,857,0,0,0,0
"25115",0,0,0,910,0,0,0,0,0,2739,1740,0,0,1011,0,0,0,0,0,0,0
"25116",0,0,0,629,0,0,0,0,0,1292,4345,0,0,134,0,0,0,0,0,0,0
"25117",0,0,0,3154,0,0,0,0,0,1002,1699,0,0,545,0,0,0,0,0,0,0
"25118",0,0,0,3455,0,0,0,0,0,1199,296,0,0,1450,0,0,0,0,0,0,0
"25119",0,0,0,3806,0,0,0,0,0,170,508,0,0,1916,0,0,0,0,0,0,0
"25120",0,0,0,5337,0,0,0,0,0,258,147,0,0,514,0,144,0,0,0,0,0
"25121",0,0,0,2244,0,0,0,0,0,0,116,0,0,4040,0,0,0,0,0,0,0
"25122",0,0,0,2627,0,0,0,0,0,0,35,0,0,3738,0,0,0,0,0,0,0
"25123",0,0,0,2260,0,0,0,0,0,0,0,0,67,247,0,134,233,1851,347,0,0
"25125",0,0,0,4509,0,0,0,0,0,0,0,0,0,245,0,176,98,297,0,0,0
"25126",0,0,0,3968,0,0,0,0,0,0,1296,0,0,718,0,34,77,176,0,0,0
"25127",0,0,0,4182,0,0,0,0,0,0,0,0,5,126,0,98,256,294,42,0,248
"25133",0,0,0,3430,0,0,0,0,0,0,592,0,0,643,0,0,485,1250,0,0,0
"25134",0,0,0,1074,0,0,0,0,0,68,4624,0,0,633,0,0,0,0,0,0,0
"25135",0,1629,0,190,0,0,0,0,0,4005,576,0,0,0,0,0,0,0,0,0,0
"25136",0,4779,0,435,0,0,0,0,0,658,0,0,0,0,0,0,300,228,0,0,0
"25757",0,0,0,1516,0,0,0,0,0,4134,6,0,0,13,0,31,6,491,0,0,0
"25758",0,0,0,1508,0,0,0,0,0,3842,296,0,0,187,0,0,567,0,0,0,0
"25760",0,0,0,1121,0,0,0,0,0,2508,2147,0,0,300,0,0,324,0,0,0,0
"25761",0,0,0,0,0,0,0,0,0,3922,1809,0,0,669,0,0,0,0,0,0,0
"25762",0,0,0,0,0,0,0,0,0,6097,0,0,0,303,0,0,0,0,0,0,0
"25763",0,0,0,0,0,0,0,0,168,4927,0,0,0,0,0,60,396,0,0,0,0
"25764",0,0,0,185,0,0,0,0,0,4930,0,0,0,113,0,15,333,0,0,0,0
"25765",0,0,0,0,0,0,0,0,0,6316,0,0,0,84,0,0,0,0,0,0,0
"25766",0,0,0,0,0,0,0,0,0,6379,21,0,0,0,0,0,0,0,0,0,0
"25767",0,0,0,0,0,0,0,0,0,5769,440,0,0,191,0,0,0,0,0,0,0
"25768",0,0,0,0,0,0,0,0,0,3190,1084,0,0,2126,0,0,0,0,0,0,0
"25769",0,0,0,25,0,0,0,0,0,2953,2454,0,0,968,0,0,0,0,0,0,0
"25770",0,0,0,641,0,0,0,0,0,705,3935,0,0,1119,0,0,0,0,0,0,0
"25771",0,0,0,480,0,0,0,0,0,0,3245,0,0,2675,0,0,0,0,0,0,0
"25772",0,0,0,3482,0,0,0,0,0,7,1534,0,0,1377,0,0,0,0,0,0,0
