new2kid,urban_ha,farm_ha,wood_ha,sng_ha,water_ha
"20549",0,0,0,319.4375,80.5625
"21199",10.6875002384186,24.1875,0,339.8125,25.3125
"21200",0,88.75,0,163.9375,147.3125
"21849",12.5625003129244,31.5625,0,332.5,23.375
"21850",0,62.4375,0,337.3125,0.25
"21851",0,59.25,0,338.625,2.125
"21852",0,53.5625,0,139.625,206.8125
"22499",0.812499970197678,47.4375,0,308.6875,43.0625
"22500",0,0,0,400,0
"22501",1.25000001862645,6.4375,0,389.5625,2.75
"22502",0,16.6875,0,294.875,88.4375
"23150",0,15.5625,0,294.25,90.1875
"23151",1.5625,7.6875,1.3125,307.6875,81.75
"23184",0,26,0,116.75,257.25
"23185",0,190.5625,0,52.75,156.6875
"23809",0,78.1875,0,112.25,209.5625
"23810",0,36.3125,0,146.0625,217.625
"23811",0,16.75,0,239.75,143.5
"23812",0,58.9375,0,215.8125,125.25
"23813",0,53.375,0,169.9375,176.6875
"23814",0,30,0,235.8125,134.1875
"23815",0,45.25,0,182.6875,172.0625
"23833",0,81.8125,0,221.0625,97.125
"23834",0,136.0625,0.75,212.625,50.5625
"23835",0,224.125,0,132.1875,43.6875
"23836",0,81.4375,13,238.8125,66.75
"23837",0,41.9375,0,264.375,93.6875
"24457",0,79.5,0,213.625,106.875
"24458",0,221,0,170.5625,8.4375
"24459",0,73.875,0,275.5,50.625
"24460",3.56250004842877,114.125,0,252.5625,29.75
"24461",1.06250001117587,0.1875,0,372.5625,26.1875
"24462",0,8.3125,0,379.3125,12.375
"24463",0,30.5625,0,334.5,34.9375
"24464",0,20.5625,0,356.9375,22.5
"24465",0,50.0625,0,293.5625,56.375
"24466",0,55.75,0,298.4375,45.8125
"24467",0,87.6875,0,210.875,101.4375
"24468",0,59.1875,0,134.1875,206.625
"24471",0,33.3125,0,155.0625,211.625
"24472",0,102.9375,0,224.5,72.5625
"24484",3.31249982118607,81.4375,0,288.25,27
"24485",0,15.9375,16.1875,336.5625,31.3125
"24486",0,13.375,56.5625,311.3125,18.75
"24487",0,7.4375,0,362,30.5625
"25107",0,14.4375,0,356.5,29.0625
"25108",0,0.1875,0,391.75,8.0625
"25110",0,2.5625,0,362.5625,34.875
"25111",0,0,0,390.1875,9.8125
"25112",0,0,0,398.0625,1.9375
"25113",0,0,0,378.4375,21.5625
"25114",0,0,0,299.5,100.5
"25115",0,0,0,350.8125,49.1875
"25116",0,0,0,396.375,3.625
"25117",0,12.875,0,361.5,25.625
"25118",2.62499991804361,85.9375,0,264.3125,47.125
"25119",0,109.6875,0,181.875,108.4375
"25120",0,105.625,0,262.8125,31.5625
"25121",0,46.9375,0,127.9375,225.125
"25122",0,42.75,0,175.5,181.75
"25123",0,119,0,51.625,229.375
"25125",0,156.8125,0,135.4375,107.75
"25126",0,67.8125,0.75,270.0625,61.375
"25127",18.2500004768372,92.125,0.3125,184.6875,104.625
"25133",0,42.375,0,218.625,139
"25134",0,25.625,0,336.5,37.875
"25135",0,2.0625,36.125,357,4.8125
"25136",0,0,190.5,189.75,19.75
"25757",0,2.6875,0,343.625,53.6875
"25758",0,15.4375,0,353.8125,30.75
"25760",0,1.5625,0,360.8125,37.625
"25761",0,0,0,352.4375,47.5625
"25762",0,0,0,381.6875,18.3125
"25763",0,0,0,345.5625,54.4375
"25764",0,4.875,0,311.25,83.875
"25765",0,0,0,394.625,5.375
"25766",0,0,0,400,0
"25767",0,0,0,391.375,8.625
"25768",0,0,0,289.0625,110.9375
"25769",0,0,0,354.9375,45.0625
"25770",0,2.75,0,351.75,45.5
"25771",0,1.3125,0,245.5,153.1875
"25772",0,18.125,0.75,331.1875,49.9375
"25773",0,64.9375,0,153.5625,181.5
"25775",0,65.75,1.0625,295.75,37.4375
"25776",0,9.25,0,327.625,63.125
"25777",13.9374997466803,84.1875,0,259.8125,42.0625
"25778",9.68750007450581,5.5,0,163.1875,221.625
"25782",0,109.875,0,124.6875,165.4375
"25783",0,0,0,376.6875,23.3125
"25784",0,25,0,363.75,11.25
"25785",0,0,30.5625,366.4375,3
"25786",0,30.25,88.75,213.4375,67.5625
"26407",0,0,0,376.375,23.625
"26408",0,0,0,380.5,19.5
"26409",0,0,0,217.25,182.75
"26410",0,0,0,399.125,0.875
"26411",0,0,0,371.3125,28.6875
"26412",0,0,0,367.5625,32.4375
"26414",0,0,0,356.6875,43.3125
"26415",0,0,0,396.375,3.625
"26416",0,0,0,400,0
"26417",0,0,0,400,0
"26418",0,0,0,371.75,28.25
"26419",0,0,0,376.3125,23.6875
"26420",0,0,0,349,51
"26421",0,0,0,364.0625,35.9375
"26422",0,0.25,2.8125,285.75,111.1875
"26424",0,24.5625,0,325.125,50.3125
"26425",0,13.375,0,315,71.625
"26426",0,20.0625,0,333.625,46.3125
"26427",0,38.5,0,278,83.5
"26431",0,62.4375,1.0625,225.875,110.625
"26432",0,28.875,0,317.375,53.75
"26433",0,0,0,338.625,61.375
"26434",0,0,0,400,0
"26435",0,0,0,396.5625,3.4375
"26436",0,1.375,0,377.8125,20.8125
"26437",0,156.1875,0,236.375,7.4375
"27057",0,0,0,349,51
"27060",0,0,0,171.375,228.625
"27064",0,0,0,212.4375,187.5625
"27065",0,0,0,343.125,56.875
"27066",0,0,0,379.75,20.25
"27067",0,0,0,400,0
"27068",0,0,0,372.875,27.125
"27069",0,1.8125,0,303.25,94.9375
"27070",0,0,0,329.5,70.5
"27074",0,9,0,312.625,78.375
"27075",0,0,0,331.5625,68.4375
"27076",0,0.0625,0,337.3125,62.625
"27077",0,3.3125,0,273.9375,122.75
"27080",0,1.5,0,350.625,47.875
"27081",0,3.8125,0,309.125,87.0625
"27082",0,7.8125,0,308.9375,83.25
"27083",0,0,0,294.25,105.75
"27084",0,0,0,370.125,29.875
"27085",0,0,0,393.375,6.625
"27086",0,8.0625,0,353.9375,38
"27087",0,66.3125,0,222.875,110.8125
"27716",0,0,0,241,159
"27717",0,1.1875,0,389.9375,8.875
"27718",0,0,0,314.0625,85.9375
"27724",0,0,0,336.875,63.125
"27726",0,0,0,330.5625,69.4375
"27728",0,55.375,0,204.3125,140.3125
"27730",0,0,0,279.5,120.5
"27731",0,17.5,0,254.6875,127.8125
"27733",0,0,0,265.125,134.875
"27734",0,0,0,197.6875,202.3125
"27735",0,0,0,309.625,90.375
"27736",0,28.5,0,250.75,120.75
"28367",0,0,0,188.125,211.875
"28374",0,3.1875,0,276.75,120.0625
"28379",0,0,0,250.1875,149.8125
"28380",0,0,0,343.875,56.125
"28381",0,25.875,0,252.6875,121.4375
"28382",0,0,0,300.8125,99.1875
"28383",0,0,0,306.375,93.625
"28384",0,0,1.3125,296.6875,102
"28385",0,0,0,226.75,173.25
"28386",0,0.8125,0,377.1875,22
"28387",0,100.875,0,229.375,69.75
"29029",0,0,0,250.5,149.5
"29030",0,0,0,267.8125,132.1875
