new2kid,percent_frm,percent_grs,percent_wod,percent_urban,percent_water
"20549",0,0.79859375,0,0,0.20140625
"21199",0.06046875,0.84953125,0,0.02671875,0.06328125
"21200",0.221875,0.40984375,0,0,0.36828125
"21849",0.07890625,0.83125,0,0.03140625,0.0584375
"21850",0.15609375,0.84328125,0,0,0.000625
"21851",0.148125,0.8465625,0,0,0.0053125
"21852",0.13390625,0.3490625,0,0,0.51703125
"22499",0.11859375,0.77171875,0,0.00203125,0.10765625
"22500",0,1,0,0,0
"22501",0.01609375,0.97390625,0,0.003125,0.006875
"22502",0.04171875,0.7371875,0,0,0.22109375
"23150",0.03890625,0.735625,0,0,0.22546875
"23151",0.01921875,0.76921875,0.00328125,0.00390625,0.204375
"23184",0.065,0.291875,0,0,0.643125
"23185",0.47640625,0.131875,0,0,0.39171875
"23809",0.19546875,0.280625,0,0,0.52390625
"23810",0.09078125,0.36515625,0,0,0.5440625
"23811",0.041875,0.599375,0,0,0.35875
"23812",0.14734375,0.53953125,0,0,0.313125
"23813",0.1334375,0.42484375,0,0,0.44171875
"23814",0.075,0.58953125,0,0,0.33546875
"23815",0.113125,0.45671875,0,0,0.43015625
"23833",0.20453125,0.55265625,0,0,0.2428125
"23834",0.34015625,0.5315625,0.001875,0,0.12640625
"23835",0.5603125,0.33046875,0,0,0.10921875
"23836",0.20359375,0.59703125,0.0325,0,0.166875
"23837",0.10484375,0.6609375,0,0,0.23421875
"24457",0.19875,0.5340625,0,0,0.2671875
"24458",0.5525,0.42640625,0,0,0.02109375
"24459",0.1846875,0.68875,0,0,0.1265625
"24460",0.2853125,0.63140625,0,0.00890625,0.074375
"24461",0.00046875,0.93140625,0,0.00265625,0.06546875
"24462",0.02078125,0.94828125,0,0,0.0309375
"24463",0.07640625,0.83625,0,0,0.08734375
"24464",0.05140625,0.89234375,0,0,0.05625
"24465",0.12515625,0.73390625,0,0,0.1409375
"24466",0.139375,0.74609375,0,0,0.11453125
"24467",0.21921875,0.5271875,0,0,0.25359375
"24468",0.14796875,0.33546875,0,0,0.5165625
"24471",0.08328125,0.38765625,0,0,0.5290625
"24472",0.25734375,0.56125,0,0,0.18140625
"24484",0.20359375,0.720625,0,0.00828125,0.0675
"24485",0.03984375,0.84140625,0.04046875,0,0.07828125
"24486",0.0334375,0.77828125,0.14140625,0,0.046875
"24487",0.01859375,0.905,0,0,0.07640625
"25107",0.03609375,0.89125,0,0,0.07265625
"25108",0.00046875,0.979375,0,0,0.02015625
"25110",0.00640625,0.90640625,0,0,0.0871875
"25111",0,0.97546875,0,0,0.02453125
"25112",0,0.99515625,0,0,0.00484375
"25113",0,0.94609375,0,0,0.05390625
"25114",0,0.74875,0,0,0.25125
"25115",0,0.87703125,0,0,0.12296875
"25116",0,0.9909375,0,0,0.0090625
"25117",0.0321875,0.90375,0,0,0.0640625
"25118",0.21484375,0.66078125,0,0.0065625,0.1178125
"25119",0.27421875,0.4546875,0,0,0.27109375
"25120",0.2640625,0.65703125,0,0,0.07890625
"25121",0.11734375,0.31984375,0,0,0.5628125
"25122",0.106875,0.43875,0,0,0.454375
"25123",0.2975,0.1290625,0,0,0.5734375
"25125",0.39203125,0.33859375,0,0,0.269375
"25126",0.16953125,0.67515625,0.001875,0,0.1534375
"25127",0.2303125,0.46171875,0.00078125,0.045625,0.2615625
"25133",0.1059375,0.5465625,0,0,0.3475
"25134",0.0640625,0.84125,0,0,0.0946875
"25135",0.00515625,0.8925,0.0903125,0,0.01203125
"25136",0,0.474375,0.47625,0,0.049375
"25757",0.00671875,0.8590625,0,0,0.13421875
"25758",0.03859375,0.88453125,0,0,0.076875
"25760",0.00390625,0.90203125,0,0,0.0940625
"25761",0,0.88109375,0,0,0.11890625
"25762",0,0.95421875,0,0,0.04578125
"25763",0,0.86390625,0,0,0.13609375
"25764",0.0121875,0.778125,0,0,0.2096875
"25765",0,0.9865625,0,0,0.0134375
"25766",0,1,0,0,0
"25767",0,0.9784375,0,0,0.0215625
"25768",0,0.72265625,0,0,0.27734375
"25769",0,0.88734375,0,0,0.11265625
"25770",0.006875,0.879375,0,0,0.11375
"25771",0.00328125,0.61375,0,0,0.38296875
"25772",0.0453125,0.82796875,0.001875,0,0.12484375
"25773",0.16234375,0.38390625,0,0,0.45375
"25775",0.164375,0.739375,0.00265625,0,0.09359375
"25776",0.023125,0.8190625,0,0,0.1578125
"25777",0.21046875,0.64953125,0,0.03484375,0.10515625
"25778",0.01375,0.40796875,0,0.02421875,0.5540625
"25782",0.2746875,0.31171875,0,0,0.41359375
"25783",0,0.94171875,0,0,0.05828125
"25784",0.0625,0.909375,0,0,0.028125
"25785",0,0.91609375,0.07640625,0,0.0075
"25786",0.075625,0.53359375,0.221875,0,0.16890625
"26407",0,0.9409375,0,0,0.0590625
"26408",0,0.95125,0,0,0.04875
"26409",0,0.543125,0,0,0.456875
"26410",0,0.9978125,0,0,0.0021875
"26411",0,0.92828125,0,0,0.07171875
"26412",0,0.91890625,0,0,0.08109375
"26414",0,0.89171875,0,0,0.10828125
"26415",0,0.9909375,0,0,0.0090625
"26416",0,1,0,0,0
"26417",0,1,0,0,0
"26418",0,0.929375,0,0,0.070625
"26419",0,0.94078125,0,0,0.05921875
"26420",0,0.8725,0,0,0.1275
"26421",0,0.91015625,0,0,0.08984375
"26422",0.000625,0.714375,0.00703125,0,0.27796875
"26424",0.06140625,0.8128125,0,0,0.12578125
"26425",0.0334375,0.7875,0,0,0.1790625
"26426",0.05015625,0.8340625,0,0,0.11578125
"26427",0.09625,0.695,0,0,0.20875
"26431",0.15609375,0.5646875,0.00265625,0,0.2765625
"26432",0.0721875,0.7934375,0,0,0.134375
"26433",0,0.8465625,0,0,0.1534375
"26434",0,1,0,0,0
"26435",0,0.99140625,0,0,0.00859375
"26436",0.0034375,0.94453125,0,0,0.05203125
"26437",0.39046875,0.5909375,0,0,0.01859375
"27057",0,0.8725,0,0,0.1275
"27060",0,0.4284375,0,0,0.5715625
"27064",0,0.53109375,0,0,0.46890625
"27065",0,0.8578125,0,0,0.1421875
"27066",0,0.949375,0,0,0.050625
"27067",0,1,0,0,0
"27068",0,0.9321875,0,0,0.0678125
"27069",0.00453125,0.758125,0,0,0.23734375
"27070",0,0.82375,0,0,0.17625
"27074",0.0225,0.7815625,0,0,0.1959375
"27075",0,0.82890625,0,0,0.17109375
"27076",0.00015625,0.84328125,0,0,0.1565625
"27077",0.00828125,0.68484375,0,0,0.306875
"27080",0.00375,0.8765625,0,0,0.1196875
"27081",0.00953125,0.7728125,0,0,0.21765625
"27082",0.01953125,0.77234375,0,0,0.208125
"27083",0,0.735625,0,0,0.264375
"27084",0,0.9253125,0,0,0.0746875
"27085",0,0.9834375,0,0,0.0165625
"27086",0.02015625,0.88484375,0,0,0.095
"27087",0.16578125,0.5571875,0,0,0.27703125
"27716",0,0.6025,0,0,0.3975
"27717",0.00296875,0.97484375,0,0,0.0221875
"27718",0,0.78515625,0,0,0.21484375
"27724",0,0.8421875,0,0,0.1578125
"27726",0,0.82640625,0,0,0.17359375
"27728",0.1384375,0.51078125,0,0,0.35078125
"27730",0,0.69875,0,0,0.30125
"27731",0.04375,0.63671875,0,0,0.31953125
"27733",0,0.6628125,0,0,0.3371875
"27734",0,0.49421875,0,0,0.50578125
"27735",0,0.7740625,0,0,0.2259375
"27736",0.07125,0.626875,0,0,0.301875
"28367",0,0.4703125,0,0,0.5296875
"28374",0.00796875,0.691875,0,0,0.30015625
"28379",0,0.62546875,0,0,0.37453125
"28380",0,0.8596875,0,0,0.1403125
"28381",0.0646875,0.63171875,0,0,0.30359375
"28382",0,0.75203125,0,0,0.24796875
"28383",0,0.7659375,0,0,0.2340625
"28384",0,0.74171875,0.00328125,0,0.255
"28385",0,0.566875,0,0,0.433125
"28386",0.00203125,0.94296875,0,0,0.055
"28387",0.2521875,0.5734375,0,0,0.174375
"29029",0,0.62625,0,0,0.37375
"29030",0,0.66953125,0,0,0.33046875
"29031",0.02203125,0.44265625,0,0,0.5353125
"29032",0,0.7871875,0,0,0.2128125
"29033",0.00234375,0.77671875,0,0,0.2209375
"29034",0,0.71953125,0,0,0.28046875
"29035",0.02359375,0.82859375,0,0,0.1478125
"29036",0,0.6690625,0,0,0.3309375
"29037",0.048125,0.8184375,0,0,0.1334375
"29038",0.1425,0.8375,0,0,0.02
"29679",0,0.67796875,0,0,0.32203125
"29680",0,0.77984375,0,0,0.22015625
"29681",0,0.4890625,0,0,0.5109375
"29682",0,0.75875,0,0,0.24125
"29683",0.00234375,0.81796875,0,0,0.1796875
"29684",0.1565625,0.49421875,0,0,0.34921875
"29688",0,0.9196875,0.00203125,0,0.07828125
"30332",0,0.93875,0,0,0.06125
"30333",0,0.6375,0,0,0.3625
"30336",0,0.76796875,0,0,0.23203125
