new2kid,tot_benefits,tot_benefits_ha
20549,0,NaN
21199,133620.627509705,5524.367028825
21200,779884.437907342,8787.4302862799
21849,-54078.6335780687,-1713.38244999822
21850,-98265.7900697232,-1573.82646758315
21851,26847.5219027517,453.122732535894
21852,188998.260778933,3528.5556271446
22499,-67240.2794658297,-1417.44989651288
22500,0,NaN
22501,-4039.28712588166,-627.462077806859
22502,-20966.3552976668,-1256.41080435457
23150,15774.9687476627,1013.65261029158
23151,1590.44703649515,206.887419381483
23184,297941.641039549,11459.2938861365
23185,1642663.07156745,8620.0751541749
23809,839435.954354639,10736.1912627292
23810,465840.266933622,12828.6476263992
23811,186484.613510329,11133.4097618107
23812,464334.57638676,7878.42335332784
23813,284952.60495536,5338.69049096694
23814,251690.431020419,8389.68103401397
23815,494655.64468517,10931.6164571308
23833,980010.877086191,11978.7425770657
23834,1691304.37344534,12430.3490928458
23835,648002.993677851,2891.25708277904
23836,171831.473894566,2109.97972548969
23837,88264.9807040998,2104.67912260149
24457,232105.675502668,2919.56824531658
24458,608997.558882869,2755.64506281841
24459,212293.631855937,2873.68706403976
24460,302759.000459404,2652.87185506598
24461,475.563172937574,2536.33692233373
24462,22657.7366745179,2725.74275783674
24463,79950.7385153427,2615.97508434659
24464,47033.4569119885,2287.34136957999
24465,108855.752473833,2174.3970531602
24466,127057.266791775,2279.05411285695
24467,471466.371682265,5376.66567848628
24468,523248.234940447,8840.51928093681
24471,333319.572312343,10005.8408198827
24472,1580025.67184672,15349.3690039754
24484,285562.481022226,3506.52317448627
24485,40984.3573308648,2571.56751879936
24486,25247.0643989363,1887.63098309804
24487,19237.6755645286,2586.57822716351
25107,16912.3930979585,1171.42116695817
25108,298.538458144602,1592.20511010454
25110,6996.77370138197,2730.44827371004
25111,0,NaN
25112,0,NaN
25113,0,NaN
25114,0,NaN
25115,0,NaN
25116,0,NaN
25117,23372.5573006333,1815.34425635987
25118,204128.249507892,2375.3105397282
25119,310163.837114132,2827.70449790662
25120,334670.8651266,3168.48156332876
25121,332710.535629081,7088.37359529334
25122,381351.895398938,8920.51217307457
25123,953056.475820704,8008.87794807314
25125,559978.145580202,3571.00451545765
25126,289686.444283323,4271.87383274947
25127,377768.565821696,4100.60858422465
25133,178909.940615502,4222.06349535108
25134,93877.6155311789,3663.51670365576
25135,4639.85815504799,2249.62819638691
25136,0,NaN
25757,3719.08628077046,1383.8460579611
25758,25626.6642647625,1660.02683496437
25760,3135.51973530196,2006.73263059325
25761,0,NaN
25762,0,NaN
25763,0,NaN
25764,5845.2624126623,1199.02818721278
25765,0,NaN
25766,0,NaN
25767,0,NaN
25768,0,NaN
25769,0,NaN
25770,8937.56412649345,3250.02331872489
25771,4916.70326983302,3746.05963415849
25772,65026.2632369715,3587.65590272946
25773,203256.944751354,3130.03957268687
25775,233025.587511377,3544.11539941257
25776,41156.9672810376,4449.40186822028
25777,365029.506472242,4335.91099001921
25778,22422.808275779,4076.87423195981
25782,512816.539907683,4667.27226309609
25783,0,NaN
25784,83906.3175301404,3356.25270120561
25785,0,NaN
25786,84892.9228634619,2806.37761532105
26407,0,NaN
26408,0,NaN
26409,0,NaN
26410,0,NaN
26411,0,NaN
26412,0,NaN
26414,0,NaN
26415,0,NaN
26416,0,NaN
26417,0,NaN
26418,0,NaN
26419,0,NaN
26420,0,NaN
26421,0,NaN
26422,926.027663158986,3704.11065263594
26424,95491.1973385963,3887.68233439578
26425,56062.4070253321,4191.58183366969
26426,89105.7013220991,4441.40567337566
26427,186119.651654934,4834.27666636193
26431,310589.585004805,4974.40776784473
