new2kid,tot_es,tot_es_ha
20549,0,0
21199,150418.096655998,6218.83603745729
21200,841518.562423457,9481.8992949122
21849,-35948.4871537124,-1138.96196922653
21850,-56981.8386894864,-912.622041072855
21851,67994.810664215,1147.59174116819
21852,226195.7570538,4223.02463577689
22499,-39991.2079092229,-843.029415741194
22500,0,0
22501,431.357117188723,67.0069308254327
22502,-11380.7135247893,-681.990323582882
23150,26582.6426945027,1708.12161892387
23151,6929.17754035589,901.356428013775
23184,309574.765315724,11906.7217429125
23185,1727926.04252432,9067.50301095086
23809,874419.219906309,11183.6191195052
23810,484559.099624591,13344.140437166
23811,195152.307502445,11650.8840299967
23812,491869.432979691,8345.61073984629
23813,309417.958117309,5797.05776332194
23814,265113.266723698,8837.10889078994
23815,517451.143430344,11435.384385201
23833,1016687.13952131,12427.0391385339
23834,1753084.9988416,12884.4097296581
23835,748321.104603563,3338.85601607836
23836,209074.585071606,2567.30112137045
23837,112764.787597705,2688.8772005414
24457,277772.103724017,3493.98872608827
24458,735886.210123674,3329.80185576323
24459,254591.332700485,3446.24477428745
24460,368314.737827473,3227.29233583766
24461,583.267013082265,3110.75740310541
24462,27455.0255538926,3302.86021700964
24463,98472.7738101047,3222.01304900138
24464,58844.9780478563,2861.76185035167
24465,137612.677792465,2748.81753393189
24466,159081.208594797,2853.47459362864
24467,521835.867589933,5951.08615925796
24468,549730.371213375,9287.94713771278
24471,348224.512791193,10453.2686766587
24472,1626082.77685359,15796.7968607514
24484,322923.569273095,3965.29325277783
24485,48228.3287436031,3026.0912152849
24486,31339.8181010809,2343.16397017427
24487,23596.3294450151,3172.61572369951
25107,25205.5887890997,1745.84164772985
25108,406.196333905299,2166.38044749493
25110,8468.72618335941,3304.86875448172
25111,0,0
25112,0,0
25113,0,0
25114,0,0
25115,0,0
25116,0,0
25117,30769.5855712671,2389.87072398191
25118,254036.803483301,2956.06462235114
25119,373724.770278159,3407.17739284932
25120,382137.872239509,3617.87334664624
25121,353711.843542827,7535.80492235052
25122,400479.436276111,9367.94002985054
25123,1006300.39077704,8456.30580484911
25125,630152.256895711,4018.50781599497
25126,320037.329114927,4719.44448464409
25127,418994.822684116,4548.11205084522
25133,198231.961233507,4678.0403830916
25134,105645.208241688,4122.73983382197
25135,5587.59662670024,2709.13775840012
25136,0,0
25757,5585.47174146975,2078.31506659339
25758,36347.5295855235,2354.49584359666
25760,4220.62756128991,2701.20163922554
25761,0,0
25762,0,0
25763,0,0
25764,9230.79882974472,1893.49719584507
25765,0,0
25766,0,0
25767,0,0
25768,0,0
25769,0,0
25770,10517.3364388353,3824.4859777583
25771,5503.95233185148,4193.48749093446
25772,73135.8931410359,4035.08375950543
25773,232311.791200743,3577.46742946284
25775,262446.44004489,3991.58083718464
25776,45296.1992395277,4896.88640427327
25777,402698.29784611,4783.35023425224
25778,24883.6614880468,4524.30208873578
25782,562759.063882689,5121.81173044541
25783,0,0
25784,95388.1740445083,3815.52696178033
25785,0,0
25786,102559.689274113,3390.40295121033
26407,0,0
26408,0,0
26409,0,0
26410,0,0
26411,0,0
26412,0,0
26414,0,0
26415,0,0
26416,0,0
26417,0,0
26418,0,0
26419,0,0
26420,0,0
26421,0,0
26422,1037.88462735298,4151.53850941191
26424,106481.144070656,4335.11019117174
26425,62046.7546097107,4639.00969044566
26426,98249.6247356899,4897.17755691912
26427,203345.624140809,5281.70452313789
26431,339072.020398025,5430.58290927768
26432,144569.62549787,5006.74027698249
26433,0,0
26434,0,0
26435,0,0
26436,4306.88197690963,3132.27780138882
26437,484480.839372016,3101.91813923659
27057,0,0
27060,0,0
27064,0,0
27065,0,0
27066,0,0
27067,0,0
27068,0,0
27069,7843.17442412134,4327.26864779108
27070,0,0
27074,39776.7411072841,4419.63790080934
27075,0,0
27076,288.933867364711,4622.94187783538
27077,17175.0218936327,5184.91226977591
27080,7976.68975042464,5317.79316694976
27081,20127.2694400001,5279.28378754102
27082,40523.370029894,5186.99136382643
27083,0,0
27084,0,0
27085,0,0
27086,39595.9891667893,4911.1304392917
27087,341021.634383403,5142.64481633784
27716,0,0
27717,11826.5827726772,9959.22759804392
27718,0,0
27724,0,0
27726,0,0
27728,273455.388789683,4938.24629868503
27730,0,0
27731,94300.7278584182,5388.61302048104
27733,0,0
27734,0,0
27735,0,0
27736,151864.837309471,5328.59078278846
28367,0,0
28374,12936.5585631632,4058.52817667865
28379,0,0
28380,0,0
28381,188674.952891262,7291.78561898597
28382,0,0
28383,0,0
28384,0,0
28385,0,0
28386,3991.21826297392,4912.26863135251
28387,412179.85758818,4086.04567621492
29029,0,0
29030,0,0
29031,79688.4279138227,9042.65848667491
29032,0,0
29033,4478.9142949998,4777.50858133312
29034,0,0
29035,69947.9688993899,7411.70531384264
29036,0,0
29037,79556.20416421,4132.78982671221
29038,202349.653252473,3549.99391671006
29679,0,0
29680,0,0
29681,0,0
29682,0,0
29683,4153.43775105028,4430.33360112029
29684,288267.985489447,4603.0816046219
29688,0,0
30332,0,0
30333,0,0
30336,0,0
30920,658299.594021696,9871.40909498326
30921,4185173.81648399,16073.6392375765
30922,5226621.3459,19290.8746330796
30923,3266024.08958581,19204.8458042532
30985,0,0
30986,8914.0301002923,3961.79115568547
31569,674528.192295641,3356.90546710117
31570,2075039.12488304,6011.33912694707
31571,2904631.96375472,17464.9047050265
31572,2700578.13646047,19376.3453737074
31573,3359339.4251444,18879.3223752408
31636,600.72094009238,1373.07643449687
31646,0,0
32221,2443359.7796218,17452.5698544414
32222,2398338.4530487,14827.4402043196
32223,4070056.41043904,15172.6240836497
32294,-8035.11226525319,-1810.7295245641
32295,-16202.9733443358,-1516.06768134136
32312,-74172.6596858064,-2519.66572181083
32313,-30787.059015056,-2301.83618804157
32872,1284739.3194678,6453.94948555255
32873,1344562.23040448,6214.03688228528
32943,-1560.26879876797,-624.10751950719
32944,0,0
32945,0,0
32946,283157.136828586,5620.98534647317
32954,0,0
32955,0,0
32956,0,0
32960,0,0
32961,0,0
32962,0,0
32963,0,0
32964,0,0
32965,169058.282509696,7390.52601135285
32966,7.49792264884695,119.966762381551
33522,542521.740048606,5254.44784550708
33523,527984.156166483,5224.33302329235
33592,-8610.93891985302,-2375.43142616635
33593,-38271.8880619724,-2293.44647562382
33594,0,0
33595,0,0
33596,384.972387039832,192.486193519916
33604,0,0
33605,0,0
33606,0,0
33607,0,0
33608,0,0
33610,-663.654400989564,-3539.49013861101
33611,0,0
33612,0,0
33613,0,0
33614,0,0
33615,0,0
33617,0,0
34241,1550.08266973184,97.2600890812134
34242,-14489.5229002319,-2069.93184289028
34243,0,0
34244,0,0
34245,0,0
34246,0,0
34247,10767.3723368349,5557.35346417285
34248,-11865.8193320403,-1695.11704743433
34254,0,0
34255,0,0
34256,0,0
34257,0,0
34258,0,0
34259,0,0
34260,-4465.25823746616,-3106.26659997646
34261,0,0
34262,0,0
34263,0,0
34264,0,0
34265,0,0
34266,96102.4468542362,3777.9831687169
34267,15002.5295353172,408.927551218185
34268,3133.64266238324,716.261179973311
34892,1553.73691001998,578.134664193479
34893,0,0
34894,0,0
34895,0,0
34896,0,0
34897,0,0
34898,-39807.8514715234,-2517.49258317935
34903,0,0
34904,0,0
34905,0,0
34906,0,0
34907,0,0
34909,0,0
34910,0,0
34911,0,0
34912,0,0
34913,0,0
34914,0,0
34915,0,0
34916,0,0
34917,-1134.54472985788,-403.393681727247
34918,0,0
35544,0,0
35545,0,0
35546,0,0
35547,0,0
35548,-3715.367577776,-1981.52937481387
35549,0,0
35550,0,0
35553,0,0
35554,0,0
35555,0,0
35556,0,0
35557,0,0
35558,0,0
35559,0,0
35560,0,0
35561,0,0
35562,0,0
35563,0,0
35564,0,0
35565,0,0
35566,0,0
35567,-10081.8929534298,-611.023815359384
36195,0,0
36196,0,0
36197,0,0
36198,0,0
36199,0,0
36202,0,0
36203,0,0
36204,0,0
36205,0,0
36206,0,0
36207,0,0
36208,0,0
36209,0,0
36210,0,0
36211,0,0
36212,0,0
36213,0,0
36214,0,0
36215,0,0
36776,0,0
36846,0,0
36847,0,0
36848,0,0
36849,0,0
36851,4383.00227695681,2922.0015179712
36852,0,0
36853,0,0
36854,0,0
36855,0,0
36856,0,0
36857,0,0
36858,0,0
36859,0,0
36860,0,0
36861,0,0
36862,0,0
36863,0,0
36864,0,0
37426,445433.11491666,3632.48207883107
37427,332749.967873712,3178.5071558086
37473,2359.05216659263,2903.4488204217
37474,85454.2001316612,2226.81954740485
37496,0,0
37497,0,0
37498,-3395.19367445953,-2361.87386049358
37499,-513.819748679149,-2740.37199295546
37500,-11596.5065287072,-3568.15585498683
37501,0,0
37502,0,0
37503,0,0
37504,0,0
37505,0,0
37506,0,0
37507,0,0
37508,0,0
37509,0,0
37510,0,0
37511,0,0
37512,0,0
37513,0,0
37514,0,0
37515,0,0
38026,5342.79284572855,2514.25545681343
38077,436749.731602319,1979.04154790063
38078,70562.3895955569,1320.46577020925
38120,0,0
38121,-3748.07439960706,-1462.66318033446
38122,-23666.8779892338,-1729.08697638238
38123,0,0
38124,242438.78538608,5913.14110697755
38125,115400.591773101,2185.09996256759
38126,0,0
38127,-7647.09143819707,-599.771877505652
38146,-1442.96588059241,-243.025832520827
38147,-1688.10130486269,-729.989753454137
38150,361.750665204099,2894.00532163279
38151,0,0
38152,0,0
38153,0,0
38154,0,0
38155,0,0
38156,0,0
38157,540.082096698667,261.857986278141
38158,0,0
38159,0,0
38160,0,0
38161,0,0
38162,0,0
38163,0,0
38164,0,0
38165,0,0
38166,0,0
38676,45222.2713003051,5024.69681114502
38677,10835.4462844256,3152.12982819654
38678,49353.844635635,2780.49828933155
38679,13606.1380052516,1258.37114499437
38727,91962.1175248917,945.625887145416
38728,0,0
38729,3039.14410284744,491.174804500597
38770,0,0
38771,0,0
38772,0,0
