new2kid,tot_es,tot_es_ha
20549,0,0
21199,-33096.4126716026,-1368.32431030024
21200,84722.7816597093,954.622891940386
21849,-200405.192420836,-6349.4613844837
21850,-390340.934605148,-6251.70165397502
21851,-316633.003246047,-5344.01693242273
21852,-109082.78994829,-2036.54960318898
22499,-297776.072757315,-6277.22284893116
22500,0,0
22501,-38962.7709091727,-6052.42225833938
22502,-104650.968733717,-6271.20031003456
23150,-89725.358518731,-5765.46636115103
23151,-45234.5083190036,-5884.12541303843
23184,10030.6642606326,385.7947792551
23185,-299072.962723784,-1569.42149821035
23809,73346.8054346584,938.088038756278
23810,69751.9737314136,1920.87787091277
23811,14312.1548449463,854.457005668436
23812,-106019.100680339,-1798.83793405628
23813,-153258.42234064,-2871.35217500029
23814,-49953.191094833,-1665.10636982777
23815,43371.385665369,958.483661113128
23833,93403.6024374907,1141.6781708612
23834,131458.785981082,966.164355886923
23835,-1232110.89653483,-5497.42731303885
23836,-466804.521751976,-5732.05507474103
23837,-236219.844310395,-5632.65723225116
24457,-430356.68035522,-5413.29157679522
24458,-1202565.02364811,-5441.47069524032
24459,-401446.415789772,-5434.13083979387
24460,-621736.235369351,-5447.85310290778
24461,-1040.67857976015,-5548.80607710023
24462,-45676.1514602572,-5494.84231195688
24463,-170117.144981812,-5566.19604652792
24464,-115341.769961697,-5609.31255907934
24465,-279363.923730417,-5580.29752240781
24466,-300127.675977146,-5383.45607133894
24467,-292139.784300831,-3331.59934678105
24468,-29424.7500813207,-497.144248770572
24471,18786.2171598344,563.938130219225
24472,274463.530612176,2666.31108484878
24484,-431679.19283616,-5300.73894457974
24485,-88860.6631924004,-5575.55353190424
24486,-76877.3037266252,-5747.83579264488
24487,-40748.0741561431,-5478.69582808091
25107,-83486.8449310351,-5782.61858355712
25108,-1073.49917376415,-5723.80257938764
25110,-13958.2304064948,-5447.00802189023
25111,0,0
25112,0,0
25113,0,0
25114,0,0
25115,0,0
25116,0,0
25117,-73379.927227433,-5699.41182348994
25118,-478151.467438262,-5563.9411111704
25119,-595163.877998718,-5425.99299554706
25120,-576598.170322213,-5458.91758884936
25121,-79981.6441064201,-1704.00125499563
25122,-18439.7598346064,-431.339411335822
25123,-93068.1908420571,-782.085637328211
25125,-822308.243964682,-5243.89306828237
25126,-339996.035287561,-5013.7627222035
25127,-466825.354687017,-5067.30371437739
25133,-213065.771313734,-5028.10079796421
25134,-133413.382602114,-5206.37590642397
25135,-11585.2229063097,-5616.94160447489
25136,0,0
25757,-15109.4406372285,-5622.01285082269
25758,-86172.8761641175,-5582.0305789531
25760,-8593.73353387937,-5499.81346765183
25761,0,0
25762,0,0
25763,0,0
25764,-27524.3618201051,-5646.02293745745
25765,0,0
25766,0,0
25767,0,0
25768,0,0
25769,0,0
25770,-14701.2552037709,-5345.91098318943
25771,-6917.61958195832,-5270.36652467207
25772,-96214.2965694701,-5308.37498314318
25773,-352532.815409442,-5428.79759722136
25775,-345008.047480818,-5247.2706841189
25776,-46055.7956811612,-4979.00493850392
25777,-421134.377628206,-5002.33559033617
25778,-27836.1030968559,-5061.10965397381
25782,-531308.51688445,-4835.57239485279
25783,0,0
25784,-132389.799542152,-5295.59198168608
25785,0,0
25786,-162932.108396042,-5386.18540152205
26407,0,0
26408,0,0
26409,0,0
26410,0,0
26411,0,0
26412,0,0
26414,0,0
26415,0,0
26416,0,0
26417,0,0
26418,0,0
26419,0,0
26420,0,0
26421,0,0
26422,-1326.46001015281,-5305.84004061122
26424,-128291.35016295,-5223.04688083891
26425,-68236.2197482272,-5101.77343911979
26426,-101740.915371375,-5071.18563549372
26427,-192534.172322906,-5000.88759280276
26431,-294239.8647012,-4712.5466117937
26432,-140163.269161101,-4854.13919172645
26433,0,0
26434,0,0
26435,0,0
26436,-7568.820665143,-5504.59684737673
26437,-861715.875852474,-5517.18671464194
27057,0,0
27060,0,0
27064,0,0
27065,0,0
27066,0,0
27067,0,0
27068,0,0
27069,-6704.90198478931,-3699.15422183626
27070,0,0
27074,-46814.1620601732,-5201.57356224147
27075,0,0
27076,-317.0347546688,-5068.50127368186
27077,-16233.3045178387,-4900.54626129076
27080,-7142.65538239051,-4761.77025492701
27081,-18010.1813965953,-4723.92005261446
27082,-37064.3102485509,-4744.20134892589
27083,0,0
27084,0,0
27085,0,0
27086,-40598.9146627783,-5035.49307139532
27087,-330457.208503797,-4983.32832177012
27716,0,0
27717,3433.17042685692,2890.96916075695
27718,0,0
27724,0,0
27726,0,0
27728,-274612.49343116,-4959.14209356496
27730,0,0
27731,-81660.501609524,-4666.31437768709
27733,0,0
27734,0,0
27735,0,0
27736,-141044.186680922,-4948.91883090955
28367,0,0
