new2kid,tot_es,tot_es_ha
20549,0,0
21199,-3563.25036145034,-147.317539868666
21200,748.000074418745,8.42816985260558
21849,-14889.8397324451,-471.756551116595
21850,-29443.3262922729,-471.564407832672
21851,-24500.905091735,-413.517385514515
21852,-10263.2187508903,-191.611839818871
22499,-22153.675131233,-467.007152166015
22500,0,0
22501,-2966.97711997559,-460.886070007315
22502,-7786.59582996837,-466.61108610721
23150,-6879.53348009868,-442.056955967928
23151,-3458.18969242559,-449.842887841456
23184,-639.56664118179,-24.5987169685304
23185,-29506.2127686996,-154.837415686868
23809,953.441162034334,12.1942836427837
23810,2806.11183440725,77.276639465068
23811,104.022673424306,6.21030886115257
23812,-10024.7458909528,-170.090984286805
23813,-12879.9098589817,-241.309786585137
23814,-4835.82876710094,-161.194292236698
23815,596.577195984567,13.1840264305982
23833,2111.14167329202,25.8046188915028
23834,1916.10676762123,14.082543415666
23835,-93252.0220986601,-416.071487333676
23836,-35140.9585668687,-431.508052082469
23837,-17807.9099569447,-424.629239355772
24457,-32611.4397703869,-410.206789564615
24458,-91065.1421519248,-412.059466750791
24459,-30405.2432853539,-411.576897263674
24460,-47074.1758539894,-412.479087439118
24461,-78.6025634236435,-419.101911083143
24462,-3454.43089895491,-415.568134802787
24463,-12844.2058876508,-420.259627801045
24464,-8699.89857270389,-423.094342516073
24465,-21085.6844571434,-421.186784475488
24466,-22752.3562784043,-408.114013962409
24467,-23862.0569085821,-272.125939299046
24468,-4934.59736229603,-83.3722186895053
24471,-424.016135726094,-12.7284202418036
24472,13144.8569428044,127.697394612602
24484,-32829.9976513107,-403.130959260325
24485,-6713.07753126241,-421.211386396429
24486,-5785.30714158973,-432.546328343158
24487,-3082.91298475335,-414.506522275931
25107,-6272.95007128345,-434.488543505197
25108,-80.7604011809322,-430.607311015367
25110,-1056.85319236292,-412.4224668252
25111,0,0
25112,0,0
25113,0,0
25114,0,0
25115,0,0
25116,0,0
25117,-5523.60909233632,-429.018181929035
25118,-36103.3471101612,-420.111431035225
25119,-45086.1721673162,-411.041838087515
25120,-43679.936540608,-413.537860739484
25121,-7683.41362009603,-163.694390101231
25122,-3377.23255854223,-78.9995920126836
25123,-12176.7685376981,-102.325786031076
25125,-62629.5178738526,-399.390979062917
25126,-26056.9893942572,-384.250251528032
25127,-35723.5741179612,-387.772853383568
25133,-16322.5796635954,-385.193620379833
25134,-10171.1434786365,-396.922672337034
25135,-874.383498214922,-423.933237116638
25136,0,0
25757,-1162.74936230545,-432.642876339214
25758,-6638.46001284583,-430.02030845865
25760,-663.495562873253,-424.623572284569
25761,0,0
25762,0,0
25763,0,0
25764,-2116.82030808765,-434.219550376954
25765,0,0
25766,0,0
25767,0,0
25768,0,0
25769,0,0
25770,-1115.88607431262,-405.776754295499
25771,-526.504051374974,-401.130662736638
25772,-7315.8550464542,-403.633381873335
25773,-26725.4492649918,-411.556168426308
25775,-26274.5689553307,-399.613216050657
25776,-3533.16248782941,-381.963512197775
25777,-32285.7946821454,-383.498447004876
25778,-2130.5093402704,-387.365334594617
25782,-40931.3840813855,-372.526817578025
25783,0,0
25784,-10069.8091090206,-402.792364360825
25785,0,0
25786,-12354.8458013494,-408.424654590063
26407,0,0
26408,0,0
26409,0,0
26410,0,0
26411,0,0
26412,0,0
26414,0,0
26415,0,0
26416,0,0
26417,0,0
26418,0,0
26419,0,0
26420,0,0
26421,0,0
26422,-100.866650818808,-403.466603275231
26424,-9776.3708272919,-398.019376135291
26425,-5216.79410673696,-390.04068087753
26426,-7784.03942245089,-387.988536973161
26427,-14761.0236945755,-383.403212846116
26431,-22754.2835701469,-364.432678254462
26432,-10787.6851551225,-373.599485891688
26433,0,0
26434,0,0
26435,0,0
26436,-572.746878512198,-416.543184372507
26437,-65188.228559949,-417.371477815927
27057,0,0
27060,0,0
27064,0,0
27065,0,0
27066,0,0
27067,0,0
27068,0,0
27069,-550.398526169943,-303.659775548229
27070,0,0
27074,-3569.46045439059,-396.60671715451
27075,0,0
27076,-24.2377898552913,-387.494641971084
27077,-1247.49593812974,-376.596862878972
27080,-551.506855671985,-367.671237114656
27081,-1391.54151049383,-364.989707805492
27082,-2861.08182991609,-366.216130446025
27083,0,0
27084,0,0
27085,0,0
27086,-3107.04505796448,-385.367539793797
27087,-25327.2951992995,-381.938188160453
27716,0,0
27717,167.361901089799,140.93040384809
27718,0,0
27724,0,0
27726,0,0
27728,-21078.8646835999,-380.656698575168
27730,0,0
27731,-6319.17449812893,-361.095685607368
27733,0,0
27734,0,0
27735,0,0
27736,-10820.7639197582,-379.675927009061
28367,0,0
28374,-1293.05367172381,-405.657533755961
28379,0,0
28380,0,0
28381,-8857.20693982195,-342.307514582491
28382,0,0
28383,0,0
28384,0,0
28385,0,0
28386,-312.554181065411,-384.65839771757
28387,-39852.748880357,-395.070620870949
29029,0,0
29030,0,0
29031,-2684.77676672847,-304.653791096614
29032,0,0
29033,-356.863647711429,-380.634257065148
29034,0,0
29035,-3296.75622639639,-349.323312342333
29036,0,0
29037,-7615.65676471945,-395.618533232179
29038,-23228.0563200962,-407.509760001687
29679,0,0
29680,0,0
29681,0,0
29682,0,0
29683,-360.587198061646,-384.605832288034
29684,-24169.4622068336,-385.939516276784
29688,0,0
30332,0,0
30333,0,0
30336,0,0
30920,-5545.34743123343,-83.1541634268081
30921,20272.2398709749,77.8578583618813
30922,45903.6392802475,169.425165615646
30923,28603.6045499095,168.19461162913
30985,0,0
30986,-883.341530444901,-392.596235753289
31569,-81293.035026928,-404.568658406197
31570,-110007.390994056,-318.688756283523
31571,19412.7540569154,116.724528948149
31572,23432.9213351224,168.128583570385
31573,29397.8473501055,165.214410056256
31636,-187.680929467822,-428.935960388121
31646,0,0
32221,21762.1013578386,155.443581127419
32222,16579.5673654663,102.501189276453
32223,32452.5457548598,120.978735339645
32294,-2104.64285832031,-474.28037054688
32295,-5046.10857379711,-472.148300948029
32312,-13908.9677707102,-472.490671632327
32313,-6364.43837113204,-475.845859523891
32872,-57447.700663996,-288.591202433587
32873,-65488.0633617784,-302.66002709083
32943,-1162.75350483976,-465.101401935905
32944,0,0
32945,0,0
32946,-6612.10409573778,-131.257649543182
32954,0,0
32955,0,0
32956,0,0
32960,0,0
32961,0,0
32962,0,0
32963,0,0
32964,0,0
32965,-250.836537561972,-10.9655316966982
32966,-28.8334708965911,-460.966760936708
33522,-36190.848840274,-350.516695789579
33523,-35525.7917075857,-351.522811442871
