new2kid,ghg,rec,flooding,totn,totp,hectares_chg
20549,0,0,0,0,0,0
21199,149976.77760871,0,441.319047288393,0,0,24.1875
21200,840889.401875927,0,629.160547530495,0,0,88.75
21849,-36530.1645250494,0,581.677371337001,0,0,31.5625
21850,-58191.9562472389,0,1210.11755775255,0,0,62.4375
21851,66855.177241914,0,1139.63342230103,0,0,59.25
21852,225715.241526912,0,480.515526887688,0,0,53.5625
22499,-40811.2488466066,0,820.040937383706,0,0,47.4375
22500,0,0,0,0,0,0
22501,306.970782687022,0,124.386334501701,0,0,6.4375
22502,-11632.3880105883,0,251.674485798958,0,0,16.6875
23150,26344.7533220158,0,237.889372486877,0,0,15.5625
23151,6813.22782283653,0,115.94971751936,0,0,7.6875
23184,309574.765315724,0,0,0,0,26
23185,1727926.04252432,0,0,0,0,190.5625
23809,874398.037291575,0,21.1826147344558,0,0,78.1875
23810,484559.099624591,0,0,0,0,36.3125
23811,195047.796870698,0,104.510631747118,0,0,16.75
23812,491700.706424662,0,168.726555028797,0,0,58.9375
23813,309400.796805346,0,17.1613119622508,0,0,53.375
23814,265109.525830742,0,3.74089295620409,0,0,30
23815,517451.143430344,0,0,0,0,45.25
23833,1015637.78470566,0,1049.35481564316,0,0,81.8125
23834,1749350.38698433,0,3734.61185727013,0,0,136.0625
23835,747722.429765004,0,598.674838558052,0,0,224.125
23836,207026.720277608,0,2047.86479399818,0,0,81.4375
23837,111743.912701926,0,1020.87489577868,0,0,41.9375
24457,276917.70118903,0,854.402534987057,0,0,79.5
24458,734793.370653225,0,1092.83947044916,0,0,221
24459,253312.491139995,0,1278.84156049014,0,0,73.875
24460,367810.018280679,0,504.719546794497,0,0,114.125
24461,582.193260244584,0,1.07375283768092,0,0,0.1875
24462,27302.0131590725,0,18.0753042648845,108.253446495629,26.6836440596271,8.3125
24463,92649.5288554043,0,0,4671.14610392679,1152.09885077359,30.5625
24464,58783.0819783167,0,61.8960695396199,0,0,20.5625
24465,137382.432441658,0,230.245350807222,0,0,50.0625
24466,158627.666582252,0,453.542012544597,0,0,55.75
24467,521711.946607537,0,123.920982396081,0,0,87.6875
24468,549730.371213375,0,0,0,0,59.1875
24471,348224.512791193,0,0,0,0,33.3125
24472,1626082.77685359,0,0,0,0,102.9375
24484,320343.922322686,0,2579.64695040852,0,0,81.4375
24485,47912.6035492001,0,315.725194402919,0,0,15.9375
24486,31055.116554,0,284.701547080876,0,0,13.375
24487,23371.1338667522,0,225.195578262919,0,0,7.4375
25107,25009.2315384595,0,196.357250640204,0,0,14.4375
25108,403.474813009624,0,2.72152089567491,0,0,0.1875
25110,8461.79652518325,0,6.92965817616726,0,0,2.5625
25111,0,0,0,0,0,0
25112,0,0,0,0,0,0
25113,0,0,0,0,0,0
25114,0,0,0,0,0,0
25115,0,0,0,0,0,0
25116,0,0,0,0,0,0
25117,30756.8377006459,0,12.747870621204,0,0,12.875
25118,252405.899630108,0,1630.90385319271,0,0,85.9375
25119,371537.670335136,0,2187.09994302319,0,0,109.6875
25120,381650.413386848,0,487.45885266168,0,0,105.625
25121,353710.552846044,0,1.29069678351259,0,0,46.9375
25122,400479.436276111,0,0,0,0,42.75
25123,1006300.39077704,0,0,0,0,119
25125,630089.173698639,0,0,49.846839686644,13.2363573850437,156.8125
25126,319986.122519703,0,0,40.5246617216485,10.6819335021653,67.8125
25127,418957.901634315,0,0,29.2064374587179,7.71461234182238,92.125
25133,197130.304995532,0,1101.65623797457,0,0,42.375
25134,104772.479367008,0,872.728874679721,0,0,25.625
25135,5523.71212921734,0,63.8844974829055,0,0,2.0625
25136,0,0,0,0,0,0
25757,5552.63244783526,0,32.8392936344883,0,0,2.6875
25758,36152.2736925649,0,195.255892958541,0,0,15.4375
25760,4220.62756128991,0,0,0,0,1.5625
25761,0,0,0,0,0,0
25762,0,0,0,0,0,0
25763,0,0,0,0,0,0
25764,9230.79882974472,0,0,0,0,4.875
25765,0,0,0,0,0,0
25766,0,0,0,0,0,0
25767,0,0,0,0,0,0
25768,0,0,0,0,0,0
25769,0,0,0,0,0,0
25770,10517.0310591797,0,0.305379655630458,0,0,2.75
25771,5503.95233185148,0,0,0,0,1.3125
25772,73135.8931410359,0,0,0,0,18.125
25773,232311.791200743,0,0,0,0,64.9375
25775,262377.019063047,0,56.2446407072892,10.4115373143298,2.76480382090927,65.75
25776,45204.8173417097,0,88.6148976013221,2.19059925769628,0.576400959019266,9.25
25777,402680.188086549,0,13.0428846458028,4.01030892602266,1.05656598996976,84.1875
25778,24883.6614880468,0,0,0,0,5.5
25782,560236.521678734,0,2522.5422039554,0,0,109.875
25783,0,0,0,0,0,0
25784,94559.2926496329,0,828.879423412823,0.00160979604729107,0.000361666528632258,25
25785,0,0,0,0,0,0
25786,101782.370526828,0,777.318747284893,0,0,30.25
26407,0,0,0,0,0,0
26408,0,0,0,0,0,0
26409,0,0,0,0,0,0
26410,0,0,0,0,0,0
26411,0,0,0,0,0,0
26412,0,0,0,0,0,0
26414,0,0,0,0,0,0
26415,0,0,0,0,0,0
26416,0,0,0,0,0,0
26417,0,0,0,0,0,0
26418,0,0,0,0,0,0
26419,0,0,0,0,0,0
