new2kid,sr_chg_perc,sr_chg_ha
20549,0,0
21199,0,0
21200,0,0
21849,0,0
21850,0,0
21851,0,0
21852,0,0
22499,0,0
22500,0,0
22501,0,0
22502,0,0
23150,0,0
23151,0,0
23184,0,0
23185,0,0
23809,0,0
23810,0,0
23811,0,0
23812,0,0
23813,0,0
23814,0,0
23815,0,0
23833,0,0
23834,0,0
23835,0,0
23836,0,0
23837,0,0
24457,0,0
24458,0,0
24459,0,0
24460,0,0
24461,7,37.3333333333333
24462,8,0.962406015037594
24463,5,0.16359918200409
24464,8,0.389057750759878
24465,0,0
24466,0,0
24467,0,0
24468,0,0
24471,0,0
24472,0,0
24484,0,0
24485,7,0.43921568627451
24486,0,0
24487,0,0
25107,0,0
25108,0,0
25110,0,0
25111,9,Inf
25112,10,Inf
25113,9,Inf
25114,7,Inf
25115,7,Inf
25116,9,Inf
25117,8,0.621359223300971
25118,0,0
25119,0,0
25120,0,0
25121,0,0
25122,0,0
25123,0,0
25125,0,0
25126,0,0
25127,0,0
25133,0,0
25134,0,0
25135,8,3.87878787878788
25136,0,0
25757,0,0
25758,0,0
25760,0,0
25761,7,Inf
25762,0,0
25763,0,0
25764,0,0
25765,9,Inf
25766,10,Inf
25767,9,Inf
25768,5,Inf
25769,8,Inf
25770,14,5.09090909090909
25771,21,16
25772,0,0
25773,0,0
25775,0,0
25776,7,0.756756756756757
25777,0,0
25778,0,0
25782,0,0
25783,0,0
25784,9,0.36
25785,8,Inf
25786,0,0
26407,0,0
26408,0,0
26409,0,0
26410,0,0
26411,0,0
26412,0,0
26414,0,0
26415,11,Inf
26416,12,Inf
26417,11,Inf
26418,8,Inf
26419,9,Inf
26420,0,0
26421,0,0
26422,0,0
26424,0,0
26425,0,0
26426,7,0.348909657320872
26427,0,0
26431,0,0
26432,0,0
26433,8,Inf
26434,11,Inf
26435,10,Inf
26436,0,0
26437,0,0
27057,0,0
27060,0,0
27064,0,0
27065,0,0
27066,0,0
27067,9,Inf
27068,0,0
27069,0,0
27070,0,0
27074,0,0
27075,0,0
27076,0,0
27077,0,0
27080,0,0
27081,0,0
27082,0,0
27083,0,0
27084,10,Inf
27085,11,Inf
27086,0,0
27087,0,0
27716,0,0
27717,0,0
27718,0,0
27724,0,0
27726,0,0
27728,0,0
27730,0,0
27731,0,0
27733,0,0
27734,1,Inf
27735,6,Inf
27736,0,0
28367,0,0
28374,0,0
28379,0,0
28380,0,0
28381,0,0
28382,0,0
28383,0,0
28384,6,Inf
28385,2,Inf
28386,0,0
28387,0,0
29029,0,0
29030,5,Inf
29031,1,0.113475177304965
29032,7,Inf
29033,6,6.4
29034,0,0
29035,0,0
29036,0,0
29037,0,0
29038,0,0
29679,0,0
29680,0,0
29681,0,0
29682,0,0
29683,0,0
29684,0,0
29688,0,0
30332,0,0
30333,0,0
30336,0,0
30920,0,0
30921,0,0
30922,0,0
30923,0,0
30985,0,0
30986,0,0
31569,0,0
31570,0,0
31571,0,0
31572,11,0.0789237668161435
31573,0,0
31636,0,0
31646,0,0
32221,0,0
32222,0,0
32223,0,0
32294,0,0
32295,0,0
32312,0,0
32313,0,0
32872,0,0
32873,0,0
32943,0,0
32944,0,0
32945,0,0
32946,0,0
32954,0,0
32955,0,0
32956,0,0
32960,0,0
32961,0,0
32962,0,0
32963,0,0
32964,0,0
32965,0,0
32966,0,0
33522,0,0
33523,0,0
33592,0,0
33593,0,0
33594,9,Inf
33595,12,Inf
33596,0,0
33604,0,0
33605,11,Inf
33606,0,0
33607,0,0
33608,0,0
33610,0,0
33611,11,Inf
33612,11,Inf
33613,12,Inf
33614,13,Inf
33615,0,0
33617,0,0
34241,0,0
34242,0,0
34243,10,Inf
34244,6,Inf
34245,8,Inf
34246,0,0
34247,0,0
34248,0,0
34254,0,0
34255,10,Inf
34256,11,Inf
34257,0,0
34258,0,0
34259,0,0
34260,0,0
34261,9,Inf
34262,10,Inf
34263,11,Inf
34264,10,Inf
34265,0,0
34266,0,0
34267,0,0
34268,0,0
34892,0,0
34893,0,0
34894,0,0
34895,11,Inf
34896,11,Inf
34897,11,Inf
34898,0,0
34903,0,0
34904,0,0
34905,8,Inf
34906,11,Inf
34907,0,0
34909,0,0
34910,6,Inf
34911,10,Inf
34912,8,Inf
34913,7,Inf
34914,2,Inf
34915,6,Inf
34916,10,Inf
34917,0,0
34918,0,0
35544,0,0
35545,0,0
35546,12,Inf
35547,10,Inf
35548,0,0
35549,0,0
35550,0,0
35553,0,0
35554,11,Inf
35555,11,Inf
35556,10,Inf
35557,0,0
35558,0,0
35559,0,0
35560,7,Inf
35561,10,Inf
35562,9,Inf
35563,4,Inf
35564,7,Inf
35565,0,0
35566,0,0
35567,0,0
36195,0,0
36196,0,0
36197,10,Inf
36198,11,Inf
36199,0,0
36202,0,0
36203,0,0
36204,11,Inf
36205,11,Inf
36206,8,Inf
36207,10,Inf
36208,11,Inf
36209,9,Inf
36210,10,Inf
36211,10,Inf
36212,11,Inf
36213,8,Inf
36214,0,0
36215,0,0
36776,0,0
36846,0,0
36847,9,Inf
36848,10,Inf
36849,0,0
36851,0,0
36852,0,0
36853,11,Inf
36854,11,Inf
36855,11,Inf
36856,9,Inf
36857,10,Inf
36858,10,Inf
36859,10,Inf
36860,10,Inf
36861,9,Inf
36862,6,Inf
36863,5,Inf
36864,0,0
37426,0,0
37427,0,0
37473,0,0
37474,0,0
37496,0,0
37497,0,0
37498,0,0
37499,0,0
37500,0,0
37501,0,0
37502,10,Inf
37503,11,Inf
37504,10,Inf
37505,9,Inf
37506,7,Inf
37507,3,Inf
37508,7,Inf
37509,10,Inf
37510,11,Inf
37511,11,Inf
37512,10,Inf
37513,10,Inf
37514,0,0
37515,0,0
38026,0,0
38077,0,0
38078,0,0
38120,0,0
38121,0,0
38122,0,0
38123,0,0
38124,0,0
38125,0,0
38126,0,0
38127,0,0
38146,0,0
38147,0,0
38150,0,0
38151,11,Inf
38152,11,Inf
38153,10,Inf
38154,9,Inf
38155,7,Inf
38156,7,Inf
38157,8,3.87878787878788
38158,3,Inf
38159,6,Inf
38160,6,Inf
38161,10,Inf
38162,9,Inf
38163,10,Inf
38164,9,Inf
38165,0,0
38166,0,0
38676,0,0
38677,0,0
38678,0,0
38679,0,0
38727,0,0
38728,0,0
38729,0,0
38770,0,0
38771,9,Inf
38772,10,Inf
38773,11,1.12101910828025
38774,0,0
38775,0,0
38776,0,0
38799,0,0
38800,0,0
38801,10,Inf
38802,0,0
38803,0,0
38804,0,0
38805,0,0
38806,0,0
38807,7,Inf
38808,12,Inf
38809,7,Inf
38810,2,Inf
38811,10,Inf
38812,9,Inf
38813,7,Inf
38814,9,Inf
38815,0,0
38819,0,0
38820,0,0
38821,0,0
39327,0,0
39328,0,0
39329,0,0
39330,0,0
39331,0,0
39332,0,0
39333,0,0
39334,0,0
39377,0,0
39378,0,0
39379,0,0
39380,0,0
39419,0,0
39420,0,0
39421,15,Inf
39422,11,Inf
39423,0,0
39424,0,0
39449,0,0
39450,0,0
39451,0,0
39452,0,0
39456,0,0
39457,1,Inf
39458,10,Inf
39459,11,Inf
39460,3,Inf
39461,4,Inf
39462,5,Inf
39463,7,Inf
39464,8,7.52941176470588
39465,0,0
39468,0,0
39469,0,0
39470,8,Inf
39471,0,0
39472,0,0
39978,0,0
39979,0,0
39980,9,1.05109489051095
39981,4,0.15421686746988
