new2kid,tot_es,tot_es_ha
20549,0,0
21199,183514.509327601,7587.16317633491
21200,756795.780763748,8527.27640297181
21849,164456.705267124,5210.50947380986
21850,333359.095915662,5339.08461926985
21851,384627.813910262,6491.60867359091
21852,335278.54700209,6259.57614006236
22499,257784.864848092,5434.20004949864
22500,0,0
22501,39394.1280263614,6119.47619826973
22502,93270.255208928,5589.22877656497
23150,116308.001213234,7473.60650366161
23151,52163.6858593595,6785.5201117866
23184,299544.101055092,11520.9269636574
23185,2026999.00524811,10636.9249209478
23809,801072.414471651,10245.5304808525
23810,414807.125893178,11423.2599213267
23811,180840.152657499,10796.4270243283
23812,597888.53366003,10144.4501999581
23813,462676.380457949,8668.40993832223
23814,315066.457818531,10502.2152606177
23815,474079.757764975,10476.9007240878
23833,923283.537083816,11285.360269932
23834,1621626.21286052,11918.2450187268
23835,1980432.0011384,8836.28332911722
23836,675879.106823582,8299.35971540853
23837,348984.6319081,8321.54114833024
24457,708128.784079237,8907.28030288348
24458,1938451.23377178,8771.27255100355
24459,656037.748490257,8880.37561408132
24460,990050.973196824,8675.14543874545
24461,1623.94559284241,8661.0431618262
24462,73131.1770141498,8797.7355806496
24463,268589.918791917,8788.2182017805
24464,174186.748009553,8471.08804909681
24465,416976.601522882,8329.12062967055
24466,459208.884571942,8236.93066496757
24467,813975.651890763,9282.68740573928
24468,579155.121294696,9785.09180645737
24471,329438.295631358,9889.32970000325
24472,1351619.24624142,13130.484480791
24484,754602.762109255,9266.03545184043
24485,137088.991936003,8601.66223912178
24486,108217.121827706,8090.99976281915
24487,64344.4036011583,8651.34838334901
25107,108692.433720135,7528.48025767167
25108,1479.69550766945,7891.70937423707
25110,22426.9565898542,8751.9830594553
25111,0,0
25112,0,0
25113,0,0
25114,0,0
25115,0,0
25116,0,0
25117,104149.5127987,8089.28254747185
25118,732188.270921563,8520.00897072364
25119,968888.648276878,8833.1728617835
25120,958736.042561723,9076.7909354956
25121,433693.487649248,9239.80799252724
25122,418919.196110717,9799.27944118636
25123,1099368.5816191,9238.39144217732
25125,1452460.50086039,9262.40255630382
25126,660033.364402488,9733.21090363116
25127,885820.177371132,9615.4157652226
25133,411297.73254724,9706.14118105581
25134,239058.590843802,9329.11574024594
25135,17172.8195330099,8326.21553115633
25136,0,0
25757,20694.9123786983,7700.43251300401
25758,122520.405749641,7936.54450200103
25760,12814.3610951693,8201.19110090834
25761,0,0
25762,0,0
25763,0,0
25764,36755.1606498498,7539.52013330252
25765,0,0
25766,0,0
25767,0,0
25768,0,0
25769,0,0
25770,25218.5916426063,9170.39696094774
25771,12421.5719138098,9464.05479147413
25772,169350.189710506,9343.45874264861
25773,584844.606610185,9006.2692067016
25775,607454.487525708,9238.85152130354
25776,91351.994920689,9875.89134277718
25777,823832.675474316,9785.68879553753
25778,52719.7645849027,9585.41174270958
25782,1094067.58076714,9957.3841252982
25783,0,0
25784,227777.97358666,9111.11894346641
25785,0,0
25786,265491.797670155,8776.58835273238
26407,0,0
26408,0,0
26409,0,0
26410,0,0
26411,0,0
26412,0,0
26414,0,0
26415,0,0
26416,0,0
26417,0,0
26418,0,0
26419,0,0
26420,0,0
26421,0,0
26422,2364.34463750578,9457.37855002313
26424,234772.494233606,9558.16770416715
26425,130282.974357938,9740.78312956545
26426,199990.540107064,9968.37583088171
26427,395879.796463715,10282.5921159407
26431,633311.885099225,10143.1332948825
26432,284732.894658971,9860.87946870895
26433,0,0
26434,0,0
26435,0,0
26436,11875.7026420526,8636.87464876555
26437,1346196.71522449,8619.10662008477
27057,0,0
27060,0,0
27064,0,0
27065,0,0
27066,0,0
27067,0,0
27068,0,0
27069,14548.0764089107,8026.52491526105
27070,0,0
27074,86590.9031674573,9621.21146305081
27075,0,0
27076,605.968622033512,9695.49795253619
27077,33408.3264114714,10085.5325015763
27080,15119.3451328152,10079.5634218768
27081,38137.4508365954,10003.2657932053
27082,77587.6802784449,9931.22307564095
27083,0,0
27084,0,0
27085,0,0
27086,80194.9038295676,9946.65473855102
27087,671478.8428872,10125.9768955657
27716,0,0
27717,8393.41234582023,7068.13671226967
27718,0,0
27724,0,0
27726,0,0
