"","new2kid","sr_100_2000","sr_100_2031"
"1",20549,0,0
"2",21199,0,0
"3",21200,0,0
"4",21849,0,0
"5",21850,0,0
"6",21851,0,0
"7",21852,0,0
"8",22499,0,0
"9",22500,0,0
"10",22501,0,0
"11",22502,0,0
"12",23150,0,0
"13",23151,0,0
"14",23184,0,0
"15",23185,0,0
"16",23809,0,0
"17",23810,0,0
"18",23811,0,0
"19",23812,0,0
"20",23813,0,0
"21",23814,0,0
"22",23815,0,0
"23",23833,0,0
"24",23834,0,0
"25",23835,0,0
"26",23836,0,0
"27",23837,0,0
"28",24457,0,0
"29",24458,0,0
"30",24459,0,0
"31",24460,0,0
"32",24461,25,25
"33",24462,25,25
"34",24463,23,23
"35",24464,25,25
"36",24465,0,0
"37",24466,0,0
"38",24467,0,0
"39",24468,0,0
"40",24471,0,0
"41",24472,0,0
"42",24484,0,0
"43",24485,24,24
"44",24486,0,0
"45",24487,0,0
"46",25107,0,0
"47",25108,0,0
"48",25110,0,0
"49",25111,25,25
"50",25112,26,26
"51",25113,25,25
"52",25114,25,25
"53",25115,24,24
"54",25116,26,26
"55",25117,25,25
"56",25118,0,0
"57",25119,0,0
"58",25120,0,0
"59",25121,0,0
"60",25122,0,0
"61",25123,0,0
"62",25125,0,0
"63",25126,0,0
"64",25127,0,0
"65",25133,0,0
"66",25134,0,0
"67",25135,26,26
"68",25136,0,0
"69",25757,0,0
"70",25758,0,0
"71",25760,0,0
"72",25761,24,24
"73",25762,0,0
"74",25763,0,0
"75",25764,0,0
"76",25765,25,25
"77",25766,26,26
"78",25767,26,26
"79",25768,23,23
"80",25769,25,25
"81",25770,33,33
"82",25771,43,43
"83",25772,0,0
"84",25773,0,0
"85",25775,0,0
"86",25776,25,25
"87",25777,0,0
"88",25778,0,0
"89",25782,0,0
"90",25783,0,0
"91",25784,25,25
"92",25785,26,26
"93",25786,0,0
"94",26407,0,0
"95",26408,0,0
"96",26409,0,0
"97",26410,0,0
"98",26411,0,0
"99",26412,0,0
"100",26414,0,0
"101",26415,30,30
"102",26416,31,31
"103",26417,27,27
"104",26418,25,25
"105",26419,27,27
"106",26420,0,0
"107",26421,0,0
"108",26422,0,0
"109",26424,0,0
"110",26425,0,0
"111",26426,24,24
"112",26427,0,0
"113",26431,0,0
"114",26432,0,0
"115",26433,25,25
"116",26434,28,28
"117",26435,27,27
"118",26436,0,0
"119",26437,0,0
"120",27057,0,0
"121",27060,0,0
"122",27064,0,0
"123",27065,0,0
"124",27066,0,0
"125",27067,26,26
"126",27068,0,0
"127",27069,0,0
"128",27070,0,0
"129",27074,0,0
"130",27075,0,0
"131",27076,0,0
"132",27077,0,0
"133",27080,0,0
"134",27081,0,0
"135",27082,0,0
"136",27083,0,0
"137",27084,27,27
"138",27085,28,28
"139",27086,0,0
"140",27087,0,0
"141",27716,0,0
"142",27717,0,0
"143",27718,0,0
"144",27724,0,0
"145",27726,0,0
"146",27728,0,0
"147",27730,0,0
"148",27731,0,0
"149",27733,0,0
"150",27734,19,19
"151",27735,24,24
"152",27736,0,0
"153",28367,0,0
"154",28374,0,0
"155",28379,0,0
"156",28380,0,0
"157",28381,0,0
"158",28382,0,0
"159",28383,0,0
"160",28384,23,23
"161",28385,20,20
"162",28386,0,0
"163",28387,0,0
"164",29029,0,0
"165",29030,24,24
"166",29031,21,21
"167",29032,29,29
"168",29033,24,24
"169",29034,0,0
"170",29035,0,0
"171",29036,0,0
"172",29037,0,0
"173",29038,0,0
"174",29679,0,0
"175",29680,0,0
"176",29681,0,0
"177",29682,0,0
"178",29683,0,0
"179",29684,0,0
"180",29688,0,0
"181",30332,0,0
"182",30333,0,0
"183",30336,0,0
"184",30920,0,0
"185",30921,0,0
"186",30922,0,0
"187",30923,0,0
"188",30985,0,0
"189",30986,0,0
"190",31569,0,0
"191",31570,0,0
"192",31571,0,0
"193",31572,30,30
"194",31573,0,0
"195",31636,0,0
"196",31646,0,0
"197",32221,0,0
"198",32222,0,0
"199",32223,0,0
"200",32294,0,0
"201",32295,0,0
"202",32312,0,0
"203",32313,0,0
"204",32872,0,0
"205",32873,0,0
"206",32943,0,0
"207",32944,0,0
"208",32945,0,0
"209",32946,0,0
"210",32954,0,0
"211",32955,0,0
"212",32956,0,0
"213",32960,0,0
"214",32961,0,0
"215",32962,0,0
"216",32963,0,0
"217",32964,0,0
"218",32965,0,0
"219",32966,0,0
"220",33522,0,0
"221",33523,0,0
"222",33592,0,0
"223",33593,0,0
"224",33594,26,26
"225",33595,29,29
"226",33596,0,0
"227",33604,0,0
"228",33605,27,27
"229",33606,0,0
"230",33607,0,0
"231",33608,0,0
"232",33610,0,0
"233",33611,26,26
"234",33612,28,28
"235",33613,33,33
"236",33614,36,36
"237",33615,0,0
"238",33617,0,0
"239",34241,0,0
"240",34242,0,0
"241",34243,28,28
"242",34244,24,24
"243",34245,26,26
"244",34246,0,0
"245",34247,0,0
"246",34248,0,0
"247",34254,0,0
"248",34255,25,25
"249",34256,28,28
"250",34257,0,0
"251",34258,0,0
"252",34259,0,0
"253",34260,0,0
"254",34261,24,24
"255",34262,25,25
"256",34263,26,26
"257",34264,27,27
"258",34265,0,0
"259",34266,0,0
"260",34267,0,0
"261",34268,0,0
"262",34892,0,0
"263",34893,0,0
"264",34894,0,0
"265",34895,28,28
"266",34896,29,29
"267",34897,27,27
"268",34898,0,0
"269",34903,0,0
"270",34904,0,0
"271",34905,25,25
"272",34906,28,28
"273",34907,0,0
"274",34909,0,0
"275",34910,22,22
"276",34911,25,25
"277",34912,23,23
"278",34913,23,23
"279",34914,19,19
"280",34915,23,23
"281",34916,26,26
"282",34917,0,0
"283",34918,0,0
"284",35544,0,0
"285",35545,0,0
"286",35546,28,28
"287",35547,26,26
"288",35548,0,0
"289",35549,0,0
"290",35550,0,0
"291",35553,0,0
"292",35554,26,26
"293",35555,27,27
"294",35556,26,26
"295",35557,0,0
"296",35558,0,0
"297",35559,0,0
"298",35560,23,23
"299",35561,25,25
"300",35562,25,25
"301",35563,21,21
"302",35564,23,23
"303",35565,0,0
"304",35566,0,0
"305",35567,0,0
"306",36195,0,0
"307",36196,0,0
"308",36197,25,25
"309",36198,26,26
"310",36199,0,0
"311",36202,0,0
"312",36203,0,0
"313",36204,27,27
"314",36205,29,29
"315",36206,25,25
"316",36207,27,27
"317",36208,29,29
"318",36209,27,27
"319",36210,26,26
"320",36211,26,26
"321",36212,27,27
"322",36213,25,25
"323",36214,0,0
"324",36215,0,0
"325",36776,0,0
"326",36846,0,0
"327",36847,24,24
"328",36848,25,25
"329",36849,0,0
"330",36851,0,0
"331",36852,0,0
"332",36853,28,28
"333",36854,27,27
"334",36855,27,27
"335",36856,26,26
"336",36857,27,27
"337",36858,27,27
"338",36859,27,27
"339",36860,27,27
"340",36861,26,26
"341",36862,25,25
"342",36863,24,24
"343",36864,0,0
"344",37426,0,0
"345",37427,0,0
"346",37473,0,0
"347",37474,0,0
"348",37496,0,0
"349",37497,0,0
"350",37498,0,0
"351",37499,0,0
"352",37500,0,0
"353",37501,0,0
"354",37502,27,27
"355",37503,26,26
"356",37504,25,25
"357",37505,24,24
"358",37506,25,25
"359",37507,24,24
"360",37508,27,27
"361",37509,30,30
"362",37510,28,28
"363",37511,27,27
"364",37512,27,27
"365",37513,26,26
"366",37514,0,0
"367",37515,0,0
"368",38026,0,0
"369",38077,0,0
"370",38078,0,0
"371",38120,0,0
"372",38121,0,0
"373",38122,0,0
"374",38123,0,0
"375",38124,0,0
"376",38125,0,0
"377",38126,0,0
"378",38127,0,0
"379",38146,0,0
"380",38147,0,0
"381",38150,0,0
"382",38151,25,25
"383",38152,26,26
"384",38153,25,25
"385",38154,24,24
"386",38155,24,24
"387",38156,24,24
"388",38157,26,26
"389",38158,26,26
"390",38159,26,26
"391",38160,26,26
"392",38161,31,31
"393",38162,26,26
"394",38163,26,26
"395",38164,26,26
"396",38165,0,0
"397",38166,0,0
"398",38676,0,0
"399",38677,0,0
"400",38678,0,0
"401",38679,0,0
"402",38727,0,0
"403",38728,0,0
"404",38729,0,0
"405",38770,0,0
"406",38771,29,29
"407",38772,29,29
"408",38773,29,29
"409",38774,0,0
"410",38775,0,0
"411",38776,0,0
"412",38799,0,0
"413",38800,0,0
"414",38801,27,27
"415",38802,0,0
"416",38803,0,0
"417",38804,0,0
"418",38805,0,0
"419",38806,0,0
"420",38807,23,23
"421",38808,33,33
"422",38809,32,32
"423",38810,20,20
"424",38811,31,31
"425",38812,28,28
"426",38813,24,24
"427",38814,27,27
"428",38815,0,0
"429",38819,0,0
"430",38820,0,0
"431",38821,0,0
"432",39327,0,0
"433",39328,0,0
"434",39329,0,0
"435",39330,0,0
"436",39331,0,0
"437",39332,0,0
"438",39333,0,0
"439",39334,0,0
"440",39377,0,0
"441",39378,0,0
"442",39379,0,0
"443",39380,0,0
"444",39419,0,0
"445",39420,0,0
"446",39421,34,34
"447",39422,28,28
"448",39423,0,0
"449",39424,0,0
"450",39449,0,0
"451",39450,0,0
"452",39451,0,0
"453",39452,0,0
"454",39456,0,0
"455",39457,21,21
"456",39458,27,27
"457",39459,29,29
"458",39460,22,22
"459",39461,22,22
"460",39462,23,23
"461",39463,24,24
"462",39464,26,26
"463",39465,0,0
"464",39468,0,0
"465",39469,0,0
"466",39470,25,25
"467",39471,0,0
"468",39472,0,0
"469",39978,0,0
"470",39979,0,0
"471",39980,28,28
"472",39981,23,23
"473",39982,36,36
"474",39983,23,23
"475",39984,0,0
"476",39985,0,0
"477",40029,0,0
"478",40030,0,0
"479",40069,0,0
"480",40070,32,32
