new2kid,net_es,net_es_ha
20549,0,0
21199,-101623.322853125,-4201.48104819122
21200,-480152.036369512,-5410.163790079
21849,-96347.9147331274,-3052.60719946542
21850,-196970.668761893,-3154.68538557586
21851,-225406.501541296,-3804.32913993748
21852,-196526.460634222,-3669.10544941371
22499,-147750.549576717,-3114.63609120878
22500,0,0
22501,-22958.4852232258,-3566.3666366176
22502,-54359.0577195872,-3257.47162364567
23150,-66458.5299623639,-4270.4276281037
23151,-29651.6553511022,-3857.12589933036
23184,-156234.473568724,-6009.0182141817
23185,-1066717.67779175,-5597.73133639491
23809,-413350.462059394,-5286.65658908897
23810,-249132.801911659,-6860.80005264465
23811,-108207.943461398,-6460.17572903868
23812,-310003.898272262,-5259.87526230774
23813,-247706.617561122,-4640.87339692968
23814,-164491.867119799,-5483.06223732662
23815,-284448.790578686,-6286.16111776102
23833,-552002.461399657,-6747.16530358634
23834,-993509.90644753,-7301.86426419866
23835,-1047467.82775241,-4673.58763079714
23836,-370424.597421103,-4548.5752561302
23837,-193418.10621974,-4612.05618407727
24457,-374027.357167007,-4704.74663103154
24458,-1049277.47488695,-4747.8618773165
24459,-346835.252284462,-4694.89343193858
24460,-534922.459302009,-4687.16284163863
24461,-881.083887326449,-4699.11406574106
24462,-39676.5908440422,-4773.12371056146
24463,-144839.919270384,-4739.13846283464
24464,-96373.5703550927,-4686.86056438141
24465,-226628.12178851,-4526.90380601269
24466,-247942.651549879,-4447.40182152249
24467,-431643.404401681,-4922.51922339765
24468,-306295.291063705,-5174.99963782395
24471,-168870.363942955,-5069.27921779977
24472,-821670.422280662,-7982.22632452374
24484,-391636.316132225,-4809.04148742563
24485,-74655.1252433756,-4684.24315252553
24486,-60201.7271762186,-4501.0637141098
24487,-34974.1623652557,-4702.40838524446
25107,-60354.2744797431,-4180.38264794758
25108,-830.470891439591,-4429.17808767782
25110,-12072.8276709632,-4711.34738379051
25111,0,0
25112,0,0
25113,0,0
25114,0,0
25115,0,0
25116,0,0
25117,-58144.4137492934,-4516.0709708189
25118,-397838.815269922,-4629.39712314091
25119,-514716.263024293,-4692.56991930979
25120,-512630.058305459,-4853.30232715227
25121,-224044.339842142,-4773.24825229597
25122,-215754.699625104,-5046.89355848196
25123,-569030.089074465,-4781.76545440727
25125,-738165.918204822,-4707.31554056483
25126,-335182.604257819,-4942.78494758075
25127,-450323.809678765,-4888.18246598388
25133,-209903.347234751,-4953.47132117407
25134,-123879.075093899,-4834.30536951801
25135,-9389.38581202716,-4552.42948461923
25136,0,0
25757,-11515.9100795234,-4284.98979703196
25758,-68921.2008961247,-4464.53123213763
25760,-7172.71379505786,-4590.53682883703
25761,0,0
25762,0,0
25763,0,0
25764,-21654.562441233,-4441.96152640677
25765,0,0
25766,0,0
25767,0,0
25768,0,0
25769,0,0
25770,-13618.2243947913,-4952.08159810592
25771,-6496.08174998671,-4949.39561903749
25772,-88438.4782164629,-4879.36431539106
25773,-300073.025792675,-4620.95131153302
