new2kid,percent_frm,percent_grs,percent_wod,percent_urban,percent_water
"43562",0.49328125,0.15234375,0.01109375,0.08171875,0.2615625
"44211",0.70140625,0.17890625,0.04359375,0.04171875,0.034375
"44212",0.748125,0.12703125,0.0990625,0.02578125,0
"44213",0.6284375,0.2134375,0.014375,0.0928125,0.0509375
"44214",0.6175,0.26890625,0.06703125,0.04078125,0.00578125
"44215",0.5990625,0.1984375,0.05609375,0.14640625,0
"44216",0.58765625,0.20796875,0.0059375,0.12625,0.0721875
"44861",0.6325,0.1115625,0.124375,0.0375,0.0940625
"44862",0.73296875,0.13875,0.1203125,0.00796875,0
"44863",0.81125,0.11734375,0.05390625,0.0175,0
"44864",0.6103125,0.3015625,0.0409375,0.0471875,0
"44865",0.6246875,0.3175,0.02234375,0.03125,0.00421875
"44866",0.3696875,0.61328125,0.00453125,0.0125,0
"44867",0.6203125,0.21609375,0.07703125,0.046875,0.0396875
"45511",0.42296875,0.06234375,0.1225,0.00859375,0.38359375
"45512",0.73140625,0.07578125,0.11953125,0.07328125,0
"45513",0.8421875,0.084375,0.05859375,0.01484375,0
"45514",0.81640625,0.1309375,0.03,0.02265625,0
"45515",0.66171875,0.22609375,0.0934375,0.01875,0
"45516",0.68015625,0.30515625,0.0146875,0,0
"45517",0.59640625,0.29265625,0.05625,0.0546875,0
"46161",0.37515625,0.0325,0.04703125,0.0028125,0.5425
"46162",0.789375,0.07671875,0.10671875,0.0271875,0
"46163",0.80921875,0.04453125,0.14109375,0.00515625,0
"46164",0.77,0.05765625,0.08984375,0.01859375,0.06390625
"46165",0.63046875,0.1309375,0.19671875,0.041875,0
"46166",0.63703125,0.3171875,0.03296875,0.0128125,0
"46167",0.67296875,0.316875,0.008125,0.00203125,0
"46168",0.4615625,0.36546875,0.0690625,0.0234375,0.08046875
"46812",0.7184375,0.0671875,0.19296875,0.00203125,0.019375
"46813",0.72703125,0.09609375,0.1534375,0.0234375,0
"46814",0.65234375,0.06625,0.19609375,0.0853125,0
"46815",0.265625,0.09734375,0.16171875,0.47265625,0.00265625
"46816",0.76171875,0.09921875,0.10390625,0.03515625,0
"46817",0.5046875,0.39078125,0.083125,0.02140625,0
"46818",0.54375,0.3821875,0.0415625,0.0325,0
"46819",0.35375,0.12265625,0.09296875,0.001875,0.42875
"47463",0.341875,0.05875,0.04203125,0.10140625,0.4559375
"47465",0,0.05552,0.01932375,0.83046875,0.0946875
"47466",0.655,0.1375,0.133125,0.074375,0
"47467",0.6321875,0.2975,0.04515625,0.02515625,0
"47468",0.61390625,0.3121875,0.0709375,0.00296875,0
"47469",0.545625,0.32,0.09546875,0.00546875,0.0334375
"48115",0,0.004842,0.00750175,0.38875,0.59890625
"48116",0.77015625,0.08578125,0.0121875,0.131875,0
"48117",0.64421875,0.27734375,0.0359375,0.0425,0
"48118",0.4453125,0.48765625,0.03984375,0.0271875,0
"48119",0.71125,0.21359375,0.0625,0.01265625,0
"48120",0.308125,0.07328125,0.08203125,0.01015625,0.52640625
"48765",0.104427,0.05359375,0.11234375,0.18104175,0.54859375
"48766",0.59015625,0.06984375,0.09859375,0.24140625,0
"48767",0.850625,0.04703125,0.07109375,0.03125,0
"48768",0.6596875,0.25875,0.01703125,0.06453125,0
"48769",0.54140625,0.19390625,0.1125,0.1521875,0
