new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha,offset_area_ha
"43562",146.5625,4.4375,111.6875,32.6875,104.625,50.75
"44211",241.1875,17.4375,110.9375,16.6875,13.75,39.375
"44212",299.25,39.625,50.8125,10.3125,0,0
"44213",251.375,5.75,85.375,37.125,20.375,0
"44214",247,26.8125,107.5625,16.3125,2.3125,0
"44215",239.625,22.4375,79.375,58.5625,0,0
"44216",235.0625,2.375,83.1875,50.5,28.875,0
"44861",253,49.75,44.625,15,37.625,0
"44862",293.1875,48.125,55.5,3.1875,0,0
"44863",324.5,21.5625,46.9375,7,0,0
"44864",244.125,16.375,120.625,18.875,0,0
"44865",122.125,8.9375,254.75,12.5,1.6875,127.75
"44866",0,1.8125,393.1875,5,0,147.875
"44867",211.4375,30.8125,123.125,18.75,15.875,36.6875
"45511",169.1875,49,24.9375,3.4375,153.4375,0
"45512",292.5625,47.8125,30.3125,29.3125,0,0
"45513",336.875,23.4375,33.75,5.9375,0,0
"45514",326.5625,12,52.375,9.0625,0,0
"45515",264.6875,37.375,90.4375,7.5,0,0
"45516",228.8125,5.875,165.3125,0,0,43.25
"45517",238.5625,22.5,117.0625,21.875,0,0
"46161",150.0625,18.8125,13,1.125,217,0
"46162",315.75,42.6875,30.6875,10.875,0,0
"46163",323.6875,56.4375,17.8125,2.0625,0,0
"46164",308,35.9375,23.0625,7.4375,25.5625,0
"46165",252.1875,78.6875,52.375,16.75,0,0
"46166",254.8125,13.1875,126.875,5.125,0,0
"46167",251.9375,3.25,144,0.8125,0,17.25
"46168",164.75,27.625,166.0625,9.375,32.1875,19.875
"46812",287.375,77.1875,26.875,0.8125,7.75,0
"46813",290.8125,61.375,38.4375,9.375,0,0
"46814",260.9375,78.4375,26.5,34.125,0,0
"46815",106.25,64.6875,38.9375,189.0625,1.0625,0
"46816",304.6875,41.5625,39.6875,14.0625,0,0
"46817",201.875,33.25,156.3125,8.5625,0,0
"46818",217.5,16.625,152.875,13,0,0
"46819",113.6221,37.1875,76.9404,0.75,171.5,27.8779
"47463",136.75,16.8125,23.5,40.5625,182.375,0
"47465",0,7.7295,22.208,332.1875,37.875,0
"47466",262,53.25,55,29.75,0,0
"47467",252.875,18.0625,119,10.0625,0,0
"47468",245.5625,28.375,124.875,1.1875,0,0
"47469",218.25,38.1875,128,2.1875,13.375,0
"48115",0,3.0007,1.9368,155.5,239.5625,0
"48116",308.0625,4.875,34.3125,52.75,0,0
"48117",257.6875,14.375,110.9375,17,0,0
"48118",178.125,15.9375,195.0625,10.875,0,0
"48119",284.5,25,85.4375,5.0625,0,0
"48120",78.6875,32.8125,73.875,4.0625,210.5625,44.5625
"48765",41.7708,44.9375,21.4375,72.4167,219.4375,0
"48766",236.0625,39.4375,27.9375,96.5625,0,0
"48767",340.25,28.4375,18.8125,12.5,0,0
"48768",263.875,6.8125,103.5,25.8125,0,0
"48769",216.5625,45,77.5625,60.875,0,0
"48770",0,14.25,94.125,104.1875,187.4375,64.9375
"49415",33.5625,7.5625,62.9375,246.9375,49,41.9375
"49416",277.8125,79.8125,21.1875,20.1875,1,0
"49417",323.9375,11.3125,6.75,58,0,0
"49418",221.6875,76,70.375,31.9375,0,35.9375
"50064",156.875,36.75,8.25,116.0625,82.0625,0
"50065",225.0625,14.125,40.0625,120.75,0,0
"50066",265.4375,47.625,59.5,27.4375,0,0
"50067",254.4375,48,37,60.5625,0,0
"50068",17.8125,10.25,87.8125,172.4375,111.6875,62.4375
"50714",309.9375,7.8125,29.1875,21.875,31.1875,0
"50715",258.625,49.5625,49.125,42.6875,0,0
"50716",212.875,50.375,132.875,3.875,0,0
"50717",207.8125,34.5,98.0625,59.625,0,55.5
"50718",125.8125,3,119.5,144.5625,7.125,115.0625
"50719",79,18.1875,95.875,155.875,51.0625,0
"51364",304,33.5625,26,34.1875,2.25,0
"51365",269.5,4.625,111.0625,14.8125,0,42.9375
"51366",279.5,23.6875,83.9375,12.875,0,0
"51367",302.75,16.0625,34.9375,46.25,0,0
"51368",318.8125,23.8125,12.125,45.25,0,0
"51369",263.1875,29.25,35.875,71.6875,0,0
"51370",237,3.1875,107.1875,39.6875,12.9375,0
"51371",61.75,2.5625,136.6875,18.5,180.5,102.8125
"52013",254.25,0.8125,14.9375,10.9375,119.0625,0
"52014",288.6875,12.625,58.0625,40.625,0,15.625
"52015",287.1875,23.5,59.1875,30.125,0,0
"52016",242.875,41.25,56.375,59.5,0,0
"52017",286.75,15.9375,34.8125,62.5,0,0
"52018",307.875,20.375,20.375,51.375,0,0
"52019",310,16.75,34.875,38.375,0,0
"52020",299.25,41.375,53.375,6,0,0
"52021",132.4264,25.25,39.7611,1.0625,201.5,24.6986
"52663",195.8125,29.8125,106,66.8125,1.5625,80.4375
"52664",283.5625,20.75,75.3125,20.375,0,0
"52665",326.625,13.25,52.0625,8.0625,0,0
"52666",304.3125,35.9375,37.9375,21.8125,0,0
"52667",202.3125,112.125,51.125,34.4375,0,0
"52668",222.5,64.5625,79.6875,33.25,0,24.625
"52669",262.4375,32.5,68.5,36.5625,0,0
"52670",115.9375,9.625,148.875,125.5625,0,89.5
"52671",197.25,59.375,44.0625,6.0625,93.25,0
"53312",80.125,87.4375,156.6875,11.8125,63.9375,148.875
"53313",135.0625,58.375,92,114.5625,0,63.625
"53314",180.8125,56.25,62.625,100.3125,0,0
"53315",282.5,41.125,71.5,4.875,0,0
"53316",295.75,4.125,95.0625,5.0625,0,0
"53317",291.375,17,81.25,5.625,4.75,0
"53318",231.5,86.5625,77.5625,4.375,0,0
"53319",118.0625,53.1875,35.5,193.25,0,0
"53320",0,5.0765,27.986,366.9375,0,0
"53321",238.6875,109.6875,20.375,31.25,0,0
"53322",172.625,27.625,29.9375,30.875,138.9375,0
"53958",201.75,48.375,72.5625,15.125,62.1875,0
"53959",201.8125,2.625,25.75,48,121.8125,0
"53960",310.125,26.8125,31.5,19.125,12.4375,0
"53961",323.125,21.75,52.375,2.75,0,0
"53962",309,7.25,37.375,46.375,0,0
"53963",154.875,16.125,35.625,193.375,0,0
"53964",258.25,15.875,23.9375,101.9375,0,0
"53965",322.5,21.25,46.5,9.75,0,0
"53966",252.3125,24.5,119.5625,3.625,0,0
"53967",299.9375,21.75,75.125,3.1875,0,0
"53968",255.5625,18.25,111.5625,14.625,0,30.25
"53969",189.9204,14.5,164.5796,31,0,61.1421
"53970",0,4.4375,111.5,284.0625,0,38.0625
"53971",0,7.4526,32.5474,360,0,0
"53972",108.472,65.75,118.5,105.903,1.375,62.6875
"54607",118.1875,10.5625,259.0625,12.1875,0,0
"54608",56.8125,3.0625,297.8125,41.0625,1.25,78
"54609",231.8125,10.625,134.375,23.1875,0,54.0625
"54610",290.0625,51.25,46.6875,12,0,0
"54611",275.1875,10.375,94.5,19.9375,0,0
"54612",276.4375,26.5625,50.375,46.625,0,0
"54613",272.5,40.375,71.3125,15.8125,0,0
"54614",305.3125,49.6875,31.25,13.75,0,0
"54615",306,24.375,62.875,6.75,0,0
"54616",254.25,15.3125,120.8125,9.625,0,0
"54617",220.125,41.1875,137.25,1.4375,0,25.1875
"54618",125.8125,24.25,222.8125,27.125,0,80.625
"54619",110.3125,15.4375,242.125,32.125,0,136.5
"54620",0.0625,20.3125,191.1875,188.4375,0,89.875
"54621",0.3125,39.5,160.5625,199.625,0,105.625
"54622",278.0625,21.375,75.3125,25.25,0,2.4375
"54623",245.1875,27.375,34.0625,47,46.375,0
"55256",237.25,28.25,30.125,34.5,69.875,0
"55257",284.6875,7.75,88.625,18.9375,0,0.375
"55258",201.9375,45,142,11.0625,0,0
"55259",117.9375,16.125,260.1875,5.75,0,0
"55260",151.0625,74.875,169.125,4.9375,0,0
"55261",238.375,84.125,60.3125,12.75,4.4375,0
"55262",203.125,116.1875,47.375,14.875,18.4375,0
"55263",261.75,85.125,32.3125,13,7.8125,0
"55264",296.8125,82.25,19.625,1.3125,0,0
"55265",307.75,20.875,62.0625,9.3125,0,11.25
"55266",323.75,16.6875,51.625,7.9375,0,0
"55267",268.125,35.5625,61.875,18.1875,16.25,0
"55268",213.625,33,78.5,6.8125,68.0625,0
"55269",253,2.8125,122.0625,22.125,0,39.1875
"55270",0,8.0625,198.6875,193.25,0,127.3125
"55271",0,11.125,116.5625,272.3125,0,44.6875
"55272",249.8125,1.375,123.5625,25.25,0,86.1875
"55273",199.8125,38.75,114.875,46.5625,0,86.75
"55274",279.5,24.9375,85.8125,9.75,0,0
"55275",146.375,22.1875,130.9375,39,61.5,0
"55908",173.625,52.8125,116.5625,6.375,50.625,0
"55909",68.3125,8.8125,322.875,0,0,0
"55910",80.0625,1.5625,305.4375,12.9375,0,0
"55911",275.9375,52.75,61,10.3125,0,0
"55912",242.3125,96.3125,21.5,16,23.875,0
"55913",244.625,108.5,1.75,1.5,43.625,0
"55914",250.1875,92.75,25.1875,30.3125,1.5625,0
"55915",185.4375,53.625,159.625,1.3125,0,94
"55916",229.375,22.875,137.625,10.125,0,0
"55917",298.75,12.25,70.25,18.75,0,0
"55918",243.9375,14.0625,99.4375,42.5625,0,0
"55919",285.6875,27,75.0625,12.25,0,0
"55920",92.0625,35.1875,232,40.75,0,102.8125
"55921",102.4375,70.5625,168.9375,58.0625,0,98.5
"55922",210.8125,14,120.5,54.6875,0,32.9375
"55923",316.625,18.3125,49.5625,15.5,0,0
"55924",293.375,6.75,72.0625,27.8125,0,14
"55925",198.625,20.3125,89.125,72.8125,19.125,0
"56558",166.1875,28.5625,60.75,3.5625,140.9375,0
"56559",204.75,60.5625,122.5625,12.125,0,0
"56560",276.25,51.25,67,5.5,0,0
"56561",327.5625,26,34.0625,12.375,0,0
"56562",280.5625,66.375,46.6875,2.5625,3.8125,0
"56563",145.1875,81.9375,26,11.9375,134.9375,0
"56564",253.3125,79.8125,49.6875,13.5,3.6875,0
"56565",213.3125,106.0625,73.375,3.375,3.875,20.75
"56566",241.6875,16.75,135.5,4.4375,1.625,71.3125
"56567",281.9375,27.125,82.625,8.3125,0,0
"56568",240.9375,78.3125,54.125,26.625,0,0
"56569",239.125,89.1875,58.0625,13.625,0,0
"56570",114.4203,28.5625,218.3922,38.625,0,107.1422
"56571",15.9375,11.875,309.3125,62.875,0,174.1875
"56572",224.6875,8.5,137.1875,29.625,0,37.3125
"56573",358.9375,4.0625,23.375,13.625,0,0
"56574",340.0625,18.5,36.9375,4.5,0,0
"56575",334,23.5,38.875,3.625,0,0
"56576",235.4375,23.625,60.25,69.5,11.1875,0
"57208",179.125,24.5,99.5625,11.6875,85.125,0
"57209",122.375,52.25,208.8125,16.5625,0,0
"57210",276.625,87.375,34.8125,1.1875,0,0
"57211",319.5625,31.375,35.625,13.4375,0,0
"57212",263.3125,84.25,31.125,8.5,12.8125,0
"57213",141.375,40.1875,37.875,29.375,151.1875,0
"57214",307.75,44.0625,21.3125,26.1875,0.6875,4.75
"57215",263.375,95.625,31.625,9.375,0,0
"57216",236.0625,67.1875,65.125,22,9.625,0
"57217",110.8125,35.375,56.375,197.4375,0,0
"57218",241.125,88.125,42.5,28.25,0,0
"57219",215.125,61.875,98.75,24.25,0,0
