new2kid,sr_100
20549,0
21199,0
21200,0
21849,0
21850,0
21851,0
21852,0
22499,0
22500,0
22501,0
22502,0
23150,0
23151,0
23184,0
23185,0
23809,0
23810,0
23811,0
23812,0
23813,0
23814,0
23815,0
23833,0
23834,0
23835,0
23836,0
23837,0
24457,0
24458,0
24459,0
24460,0
24461,25
24462,25
24463,23
24464,25
24465,0
24466,0
24467,0
24468,0
24471,0
24472,0
24484,0
24485,24
24486,0
24487,0
25107,0
25108,0
25110,0
25111,25
25112,26
25113,25
25114,25
25115,24
25116,26
25117,25
25118,0
25119,0
25120,0
25121,0
25122,0
25123,0
25125,0
25126,0
25127,0
25133,0
25134,0
25135,26
25136,0
25757,0
25758,0
25760,0
25761,24
25762,0
25763,0
25764,0
25765,25
25766,26
25767,26
25768,23
25769,25
25770,33
25771,43
25772,0
25773,0
25775,0
25776,25
25777,0
25778,0
25782,0
25783,0
25784,25
25785,26
25786,0
26407,0
26408,0
26409,0
26410,0
26411,0
26412,0
26414,0
26415,30
26416,31
26417,27
26418,25
26419,27
26420,0
26421,0
26422,0
26424,0
26425,0
26426,24
26427,0
26431,0
26432,0
26433,25
26434,28
26435,27
26436,0
26437,0
27057,0
27060,0
27064,0
27065,0
27066,0
27067,26
27068,0
27069,0
27070,0
27074,0
27075,0
27076,0
27077,0
27080,0
27081,0
27082,0
27083,0
27084,27
27085,28
27086,0
27087,0
27716,0
27717,0
27718,0
27724,0
27726,0
27728,0
27730,0
27731,0
27733,0
27734,19
27735,24
27736,0
28367,0
28374,0
28379,0
28380,0
28381,0
28382,0
28383,0
28384,23
28385,20
28386,0
28387,0
29029,0
29030,24
29031,21
29032,29
29033,24
29034,0
29035,0
29036,0
29037,0
29038,0
29679,0
29680,0
29681,0
29682,0
29683,0
29684,0
29688,0
30332,0
30333,0
30336,0
30920,0
30921,0
30922,0
30923,0
30985,0
30986,0
31569,0
31570,0
31571,0
31572,30
31573,0
31636,0
31646,0
32221,0
32222,0
32223,0
32294,0
32295,0
32312,0
32313,0
32872,0
32873,0
32943,0
32944,0
32945,0
32946,0
32954,0
32955,0
32956,0
32960,0
32961,0
32962,0
32963,0
32964,0
32965,0
32966,0
33522,0
33523,0
33592,0
33593,0
33594,26
33595,29
33596,0
33604,0
33605,27
33606,0
33607,0
33608,0
33610,0
33611,26
33612,28
33613,33
33614,36
33615,0
33617,0
34241,0
34242,0
34243,28
34244,24
34245,26
34246,0
34247,0
34248,0
34254,0
34255,25
34256,28
34257,0
34258,0
34259,0
34260,0
34261,24
34262,25
34263,26
34264,27
34265,0
34266,0
34267,0
34268,0
34892,0
34893,0
34894,0
34895,28
34896,29
34897,27
34898,0
34903,0
34904,0
34905,25
34906,28
34907,0
34909,0
34910,22
34911,25
34912,23
34913,23
34914,19
34915,23
34916,26
34917,0
34918,0
35544,0
35545,0
35546,28
35547,26
35548,0
35549,0
35550,0
35553,0
35554,26
35555,27
35556,26
35557,0
35558,0
35559,0
35560,23
35561,25
35562,25
35563,21
35564,23
35565,0
35566,0
35567,0
36195,0
36196,0
36197,25
36198,26
36199,0
36202,0
36203,0
36204,27
36205,29
36206,25
36207,27
36208,29
36209,27
36210,26
36211,26
36212,27
36213,25
36214,0
36215,0
36776,0
36846,0
36847,24
36848,25
36849,0
36851,0
36852,0
36853,28
36854,27
36855,27
36856,26
36857,27
36858,27
36859,27
36860,27
36861,26
36862,25
36863,24
36864,0
37426,0
37427,0
37473,0
37474,0
37496,0
37497,0
37498,0
37499,0
37500,0
37501,0
37502,27
37503,26
37504,25
37505,24
37506,25
37507,24
37508,27
37509,30
37510,28
37511,27
37512,27
37513,26
37514,0
37515,0
38026,0
38077,0
38078,0
38120,0
38121,0
38122,0
38123,0
38124,0
38125,0
38126,0
38127,0
38146,0
38147,0
38150,0
38151,25
38152,26
38153,25
38154,24
38155,24
38156,24
38157,26
38158,26
38159,26
38160,26
38161,31
38162,26
38163,26
38164,26
38165,0
38166,0
38676,0
38677,0
38678,0
38679,0
38727,0
38728,0
38729,0
38770,0
38771,29
38772,29
38773,29
38774,0
38775,0
38776,0
38799,0
38800,0
38801,27
38802,0
38803,0
38804,0
38805,0
38806,0
38807,23
38808,33
38809,32
38810,20
38811,31
38812,28
38813,24
38814,27
38815,0
38819,0
38820,0
38821,0
39327,0
39328,0
39329,0
39330,0
39331,0
39332,0
39333,0
39334,0
39377,0
39378,0
39379,0
39380,0
39419,0
39420,0
39421,34
39422,28
39423,0
39424,0
39449,0
39450,0
39451,0
39452,0
39456,0
39457,21
39458,27
39459,29
39460,22
39461,22
39462,23
39463,24
39464,26
39465,0
39468,0
39469,0
39470,25
39471,0
39472,0
39978,0
39979,0
39980,28
39981,23
39982,36
39983,23
39984,0
39985,0
40029,0
40030,0
40069,0
40070,32
40071,34
40072,31
40073,0
40076,0
40080,0
40081,0
40099,0
40102,0
40103,0
40104,0
40105,0
40106,0
40107,25
40108,21
40109,27
40110,28
40111,25
40112,23
40113,24
40114,28
40115,0
40116,0
40117,0
40118,0
40119,23
40120,27
40121,27
40122,0
40629,0
40630,0
40631,0
40632,30
40633,27
40634,26
40635,0
40679,0
40680,0
40681,0
40719,0
40720,0
40721,0
40722,0
40723,0
40724,0
40725,0
40726,0
40727,0
40729,0
40730,0
40731,0
40732,0
40751,0
40752,0
40753,31
40754,30
40755,27
40756,26
40757,24
40758,23
40759,25
40760,26
40761,25
40762,24
40763,24
40764,26
40765,27
40766,22
40767,25
40768,25
40769,24
40770,25
40771,26
40772,0
40773,0
41281,0
41282,0
41283,0
41284,0
41285,0
41286,0
41331,0
41372,0
41373,27
41374,23
41375,22
41376,20
41377,0
41378,0
41379,0
41380,0
41402,0
41403,27
41404,29
41405,25
41406,25
41407,29
41408,25
41409,24
41410,21
41411,22
41412,24
41413,26
41414,25
41415,23
41416,28
41417,26
41418,26
41419,24
41420,26
41421,27
41422,22
41423,0
41920,0
41921,0
41922,0
41923,0
41928,0
41932,0
41933,0
41936,0
42021,0
42022,0
42023,26
42024,25
42025,22
42026,25
42027,26
42028,0
42029,0
42051,0
42052,0
42053,26
42054,28
42055,25
42056,24
42057,26
42058,26
42059,20
42060,22
42061,26
42062,25
42063,25
42064,24
42065,28
42066,27
42067,27
42068,26
42069,26
42070,26
42071,26
42072,27
42073,0
42074,0
42570,0
42571,0
42572,37
42573,0
42577,0
42578,0
42579,0
42581,0
42582,0
42583,0
42584,0
42585,0
42610,0
42611,0
42649,0
42665,0
42666,0
42670,0
42671,0
42672,24
42673,26
42674,18
42675,18
42676,18
42677,0
42678,0
42701,0
42702,31
42703,25
42704,27
42705,50
42706,25
42707,26
42708,24
42709,24
42710,17
42711,29
42712,28
42713,25
42714,25
42715,29
42716,28
42717,26
42718,26
42719,27
42720,27
42721,28
42722,27
42723,17
42724,0
43221,0
43222,0
43223,0
43224,0
43225,0
43226,0
43227,0
43228,31
43229,0
43231,0
43232,30
43233,28
43234,28
43235,0
43236,0
43258,0
43259,0
43260,0
43261,0
43262,0
43298,0
43299,0
43300,0
43313,0
43314,0
43315,0
43316,0
43319,0
43320,0
43321,21
43322,25
43323,26
43324,19
43325,18
43326,0
43327,0
43351,0
43352,0
43353,25
43354,26
43355,49
43356,26
43357,26
43358,27
43359,0
43360,0
43361,0
43362,28
43363,25
43364,27
43365,26
43366,27
43367,28
43368,27
43369,28
43370,28
43371,28
43372,22
43373,22
43374,0
43562,0
43873,0
43874,28
43875,37
43876,37
43877,28
43878,28
43879,0
43880,0
43881,0
43882,22
43883,19
43884,26
43885,27
43886,0
43887,0
43908,0
43909,0
43910,0
43911,0
43923,0
43924,0
43926,0
43947,0
43948,0
43949,25
43950,0
43951,0
