new2kid,sr_chg_100
20549,0
21199,0
21200,0
21849,0
21850,0
21851,0
21852,0
22499,0
22500,0
22501,0
22502,0
23150,0
23151,0
23184,0
23185,0
23809,0
23810,0
23811,0
23812,0
23813,0
23814,0
23815,0
23833,0
23834,0
23835,0
23836,0
23837,0
24457,0
24458,0
24459,0
24460,0
24461,0
24462,0
24463,0
24464,0
24465,0
24466,0
24467,0
24468,0
24471,0
24472,0
24484,0
24485,0
24486,0
24487,0
25107,0
25108,0
25110,0
25111,0
25112,0
25113,0
25114,0
25115,0
25116,0
25117,0
25118,0
25119,0
25120,0
25121,0
25122,0
25123,0
25125,0
25126,0
25127,0
25133,0
25134,0
25135,0
25136,0
25757,0
25758,0
25760,0
25761,0
25762,0
25763,0
25764,0
25765,0
25766,0
25767,0
25768,0
25769,0
25770,0
25771,0
25772,0
25773,0
25775,0
25776,0
25777,0
25778,0
25782,0
25783,0
25784,0
25785,0
25786,0
26407,0
26408,0
26409,0
26410,0
26411,0
26412,0
26414,0
26415,0
26416,0
26417,0
26418,0
26419,0
26420,0
26421,0
26422,0
26424,0
26425,0
26426,0
26427,0
26431,0
26432,0
26433,0
26434,0
26435,0
26436,0
26437,0
27057,0
27060,0
27064,0
27065,0
27066,0
27067,0
27068,0
27069,0
27070,0
27074,0
27075,0
27076,0
27077,0
27080,0
27081,0
27082,0
27083,0
27084,0
27085,0
27086,0
27087,0
27716,0
27717,0
27718,0
27724,0
27726,0
27728,0
27730,0
27731,0
27733,0
27734,0
27735,0
27736,0
28367,0
28374,0
28379,0
28380,0
28381,0
28382,0
28383,0
28384,0
28385,0
28386,0
28387,0
29029,0
29030,0
29031,0
29032,0
29033,0
29034,0
29035,0
29036,0
29037,0
29038,0
29679,0
29680,0
29681,0
29682,0
29683,0
29684,0
29688,0
30332,0
30333,0
30336,0
30920,0
30921,0
30922,0
30923,0
30985,0
30986,0
31569,0
31570,0
31571,0
31572,0
31573,0
31636,0
31646,0
32221,0
32222,0
32223,0
32294,0
32295,0
32312,0
32313,0
32872,0
32873,0
32943,0
32944,0
32945,0
32946,0
32954,0
32955,0
32956,0
32960,0
32961,0
32962,0
32963,0
32964,0
32965,0
32966,0
33522,0
33523,0
33592,0
33593,0
33594,0
33595,0
33596,0
33604,0
33605,0
33606,0
33607,0
33608,0
33610,0
33611,0
33612,0
33613,0
33614,0
33615,0
33617,0
34241,0
34242,0
34243,0
34244,0
34245,0
34246,0
34247,0
34248,0
34254,0
34255,0
34256,0
34257,0
34258,0
34259,0
34260,0
34261,0
34262,0
34263,0
34264,0
34265,0
34266,0
34267,0
34268,0
34892,0
34893,0
34894,0
34895,0
34896,0
34897,0
34898,0
34903,0
34904,0
34905,0
34906,0
34907,0
34909,0
34910,0
34911,0
34912,0
34913,0
34914,0
34915,0
34916,0
34917,0
34918,0
35544,0
35545,0
35546,0
35547,0
35548,0
35549,0
35550,0
35553,0
35554,0
35555,0
35556,0
35557,0
35558,0
35559,0
35560,0
35561,0
35562,0
35563,0
35564,0
35565,0
35566,0
35567,0
36195,0
36196,0
36197,0
36198,0
36199,0
36202,0
36203,0
36204,0
36205,0
36206,0
36207,0
36208,0
36209,0
36210,0
36211,0
36212,0
36213,0
36214,0
36215,0
36776,0
36846,0
36847,0
36848,0
36849,0
36851,0
36852,0
36853,0
36854,0
36855,0
36856,0
36857,0
36858,0
36859,0
36860,0
36861,0
36862,0
36863,0
36864,0
37426,0
37427,0
37473,0
37474,0
37496,0
37497,0
37498,0
37499,0
37500,0
37501,0
37502,0
37503,0
37504,0
37505,0
37506,0
37507,0
37508,0
37509,0
37510,0
37511,0
37512,0
37513,0
37514,0
37515,0
38026,0
38077,0
38078,0
38120,0
38121,0
38122,0
38123,0
38124,0
38125,0
38126,0
38127,0
38146,0
38147,0
38150,0
38151,0
38152,0
38153,0
38154,0
38155,0
38156,0
38157,0
38158,0
38159,0
38160,0
38161,0
38162,0
38163,0
38164,0
38165,0
38166,0
38676,0
38677,0
38678,0
38679,0
38727,0
38728,0
38729,0
38770,0
38771,0
38772,0
38773,0
38774,0
38775,0
38776,0
38799,0
38800,0
38801,0
38802,0
38803,0
38804,0
38805,0
38806,0
38807,0
38808,0
38809,0
38810,0
38811,0
38812,0
38813,0
38814,0
38815,0
38819,0
38820,0
38821,0
39327,0
39328,0
39329,0
39330,0
39331,0
39332,0
39333,0
39334,0
39377,0
39378,0
39379,0
39380,0
39419,0
39420,0
39421,0
39422,0
39423,0
39424,0
39449,0
39450,0
39451,0
39452,0
39456,0
39457,0
39458,0
39459,0
39460,0
39461,0
39462,0
39463,0
39464,0
39465,0
39468,0
39469,0
39470,0
39471,0
39472,0
39978,0
39979,0
39980,0
39981,0
39982,0
39983,0
39984,0
39985,0
40029,0
40030,0
40069,0
40070,0
40071,0
40072,0
40073,0
40076,0
40080,0
40081,0
40099,0
40102,0
40103,0
40104,0
40105,0
40106,0
40107,0
40108,0
40109,0
40110,0
40111,0
40112,0
40113,0
40114,0
40115,0
40116,0
40117,0
40118,0
40119,0
40120,0
40121,0
40122,0
40629,0
40630,0
40631,0
40632,0
40633,0
40634,0
40635,0
40679,0
40680,0
40681,0
40719,0
40720,0
40721,0
40722,0
40723,0
40724,0
40725,0
40726,0
40727,0
40729,0
40730,0
40731,0
40732,0
40751,0
40752,0
40753,0
40754,0
40755,0
40756,0
40757,0
40758,0
40759,0
40760,0
40761,0
40762,0
40763,0
40764,0
40765,0
40766,0
40767,0
40768,0
40769,0
40770,0
40771,0
40772,0
40773,0
41281,0
41282,0
41283,0
41284,0
41285,0
41286,0
41331,0
41372,0
41373,0
41374,0
41375,0
41376,0
41377,0
41378,0
41379,0
41380,0
41402,0
41403,0
41404,0
41405,0
41406,0
41407,0
41408,0
41409,0
41410,0
41411,0
41412,0
41413,0
41414,0
41415,0
41416,0
41417,0
41418,0
41419,0
41420,0
41421,0
41422,0
41423,0
41920,0
41921,0
41922,0
41923,0
41928,0
41932,0
41933,0
41936,0
42021,0
42022,0
42023,0
42024,0
42025,0
42026,0
42027,0
42028,0
42029,0
42051,0
42052,0
42053,0
42054,0
42055,0
42056,0
42057,0
42058,0
42059,0
42060,0
42061,0
42062,0
42063,0
42064,0
42065,0
42066,0
42067,0
42068,0
42069,0
42070,0
42071,0
42072,0
42073,0
42074,0
42570,0
42571,0
42572,0
42573,0
42577,0
42578,0
42579,0
42581,0
42582,0
42583,0
42584,0
42585,0
42610,0
42611,0
42649,0
42665,0
42666,0
42670,0
42671,0
42672,0
42673,0
42674,0
42675,0
42676,0
42677,0
42678,0
42701,0
42702,0
42703,0
42704,0
42705,0
42706,0
42707,0
42708,0
42709,0
42710,0
42711,0
42712,0
42713,0
42714,0
42715,0
42716,0
42717,0
42718,0
42719,0
42720,0
42721,0
42722,0
42723,0
42724,0
43221,0
43222,0
43223,0
43224,0
43225,0
43226,0
43227,0
43228,0
43229,0
43231,0
43232,0
43233,0
43234,0
43235,0
43236,0
43258,0
43259,0
43260,0
43261,0
43262,0
43298,0
43299,0
43300,0
43313,0
43314,0
43315,0
43316,0
43319,0
43320,0
43321,0
43322,0
43323,0
43324,0
43325,0
43326,0
43327,0
43351,0
43352,0
43353,0
43354,0
43355,0
43356,0
43357,0
43358,0
43359,0
43360,0
43361,0
43362,0
43363,0
43364,0
43365,0
43366,0
43367,0
43368,0
43369,0
43370,0
43371,0
43372,0
43373,0
43374,0
43562,0
43873,0
43874,0
43875,0
43876,0
43877,0
43878,0
43879,0
43880,0
43881,0
43882,0
43883,0
43884,0
43885,0
43886,0
43887,0
43908,0
43909,0
43910,0
43911,0
43923,0
43924,0
43926,0
43947,0
43948,0
43949,0
43950,0
