new2kid,sr_chg,sr_chg_ha,farm_oc,farm_oc_ha,ha
20549,0,0,4954.17610773229,3963.34088618583,1.25
21199,0,0,513631.058141377,4201.48104819122,122.25
21200,0,0,1002232.84211214,5410.16379007901,185.25
21849,0,0,320714.543893836,3052.60719946542,105.0625
21850,0,0,206434.72491862,3154.68538557586,65.4375
21851,0,0,617490.173526103,3804.32913993748,162.3125
21852,0,0,452905.203912005,3669.10544941371,123.4375
22499,0,0,324311.482997115,3114.63609120878,104.125
22500,0,0,0,0,0
22501,0,0,54832.8870379956,3566.3666366176,15.375
22502,0,0,25041.8131067761,3257.47162364567,7.6875
23150,0,0,700350.131009007,4270.4276281037,164
23151,0,0,774318.024290571,3857.12589933036,200.75
23184,0,0,710566.403826986,6009.0182141817,118.25
23185,0,0,1410278.43856299,5597.73133639491,251.9375
23809,0,0,638694.199169311,5286.65658908897,120.8125
23810,0,0,1066425.60818295,6860.80005264466,155.4375
23811,0,0,793794.092705628,6460.17572903868,122.875
23812,0,0,1080904.36640424,5259.87526230774,205.5
23813,0,0,810412.516938846,4640.87339692968,174.625
23814,0,0,772769.084073221,5483.06223732662,140.9375
23815,0,0,733516.425428739,6286.16111776102,116.6875
23833,0,0,951350.307805674,6747.16530358634,141
23834,0,0,2340247.49667567,7301.86426419866,320.5
23835,0,0,1232366.63839582,4673.58763079713,263.6875
23836,0,0,973679.390765371,4548.5752561302,214.0625
23837,0,0,705644.596163822,4612.05618407727,153
24457,0,0,1387018.11616098,4704.74663103154,294.8125
24458,0,0,1816650.65080823,4747.8618773165,382.625
24459,0,0,1431942.49674127,4694.89343193858,305
24460,0,0,1660134.48897288,4687.16284163863,354.1875
24461,3,0.0159786950732357,882258.665842884,4699.11406574106,187.75
24462,5,0.025756600128783,926582.640312744,4773.12371056146,194.125
24463,3,0.0156300879192445,909618.388710324,4739.13846283464,191.9375
24464,4,0.0231716147719044,809069.30492634,4686.86056438141,172.625
24465,0,0,1334870.75979799,4526.90380601269,294.875
24466,0,0,1321156.30360603,4447.40182152249,297.0625
24467,0,0,1304159.93674891,4922.51922339765,264.9375
24468,0,0,857756.189969319,5174.99963782395,165.75
24471,0,0,910569.279497283,5069.27921779977,179.625
24472,0,0,2572771.32222306,7982.22632452374,322.3125
24484,0,0,1058289.6923266,4809.04148742564,220.0625
24485,5,0.0405679513184584,577332.968548771,4684.24315252553,123.25
24486,0,0,105212.364317317,4501.0637141098,23.375
24487,0,0,591621.754968569,4702.40838524446,125.8125
25107,0,0,404190.747273431,4180.38264794758,96.6875
25108,0,0,553093.613698768,4429.17808767782,124.875
25110,0,0,945214.068872972,4711.34738379051,200.625
25111,0,0,0,0,0
25112,0,0,0,0,0
25113,2,0.0835509138381201,95909.6881195406,4006.67104415835,23.9375
25114,3,0.0203648705982181,826950.625503302,5613.58082649675,147.3125
25115,3,0.0527472527472527,257218.199627367,4522.51779564601,56.875
25116,2,0.0508744038155803,173733.09818517,4419.28389660209,39.3125
25117,3,0.0152187698161065,890230.490122676,4516.0709708189,197.125
25118,0,0,999660.441278239,4629.39712314091,215.9375
25119,0,0,1116245.06955582,4692.56991930979,237.875
25120,0,0,1618879.65750073,4853.30232715227,333.5625
25121,0,0,669448.067384509,4773.24825229597,140.25
25122,0,0,828636.836133257,5046.89355848196,164.1875
25123,0,0,675424.370435026,4781.76545440727,141.25
25125,0,0,1326580.36077542,4707.31554056483,281.8125
25126,0,0,1225810.66700002,4942.78494758075,248
25127,0,0,1277648.69204654,4888.18246598388,261.375
25133,0,0,1061900.41447669,4953.47132117407,214.375
25134,0,0,324502.747928896,4834.30536951801,67.125
25135,1,0.0842105263157895,54060.1001298534,4552.42948461923,11.875
25136,0,0,126620.197124349,4657.29460687259,27.1875
25757,0,0,406002.783268778,4284.98979703196,94.75
25758,0,0,420782.068628972,4464.53123213763,94.25
25760,0,0,321624.486570394,4590.53682883703,70.0625
25761,0,0,0,0,0
25762,0,0,0,0,0
25763,0,0,0,0,0
25764,0,0,51360.1801490783,4441.96152640677,11.5625
25765,0,0,0,0,0
25766,0,0,0,0,0
25767,0,0,0,0,0
25768,0,0,0,0,0
25769,0,0,7347.51083117149,4702.40693194975,1.5625
25770,1,0.0249609984399376,198392.769024119,4952.08159810592,40.0625
25771,0,0,148481.868571125,4949.39561903749,30
25772,0,0,1061871.65913698,4879.36431539106,217.625
25773,0,0,952493.589089743,4620.95131153302,206.125
25775,0,0,1726438.17941021,4767.51999837132,362.125
25776,3,0.0250260688216893,605399.369908249,5050.25543197706,119.875
25777,0,0,1743846.43270363,4991.33147106586,349.375
25778,0,0,867888.152328784,4863.82151918057,178.4375
25782,0,0,951258.409781523,5026.46451667912,189.25
25783,0,0,59861.6498611094,4962.62382268265,12.0625
25784,2,0.0594795539033457,162120.134647673,4821.41664379695,33.625
25785,0,0,0,0,0
25786,0,0,692970.038046816,4704.08171775522,147.3125
26407,0,0,0,0,0
26408,0,0,4803.92093975309,4521.33735506173,1.0625
26409,0,0,0,0,0
26410,0,0,0,0,0
26411,0,0,0,0,0
26412,0,0,0,0,0
26414,0,0,0,0,0
26415,0,0,0,0,0
26416,0,0,0,0,0
26417,0,0,0,0,0
26418,0,0,0,0,0
26419,1,0.0647773279352227,65508.8481447045,4243.48813892822,15.4375
26420,0,0,0,0,0
26421,0,0,492524.093620601,5153.94734985587,95.5625
26422,0,0,1308186.50599003,5017.01440456387,260.75
26424,0,0,1220055.34982239,4984.90439151128,244.75
26425,0,0,262332.401527845,5044.85387553548,52
26426,3,0.0267409470752089,576276.629192379,5136.72761397106,112.1875
26427,0,0,1273690.98508125,5033.10836287971,253.0625
26431,0,0,1384139.41265718,5125.25586727954,270.0625
26432,0,0,768601.953979734,5090.0791654287,151
26433,0,0,0,0,0
26434,0,0,0,0,0
26435,0,0,0,0,0
26436,0,0,316006.506439119,4664.30267806818,67.75
26437,0,0,1525988.40200359,4501.44071387491,339
27057,0,0,0,0,0
27060,0,0,0,0,0
27064,0,0,0,0,0
27065,0,0,0,0,0
27066,0,0,0,0,0
27067,0,0,0,0,0
27068,0,0,0,0,0
27069,0,0,31807.0371853654,4584.79815284546,6.9375
27070,0,0,141239.389127947,4944.92390819944,28.5625
27074,0,0,406522.827980711,5053.89685135305,80.4375
27075,0,0,0,0,0
27076,0,0,66885.7541389223,5120.44050824286,13.0625
27077,0,0,876256.150427805,5175.37778030449,169.3125
27080,0,0,558884.12469616,5148.04029656797,108.5625
27081,0,0,265020.716595282,5146.03333194722,51.5
27082,0,0,1024719.17478128,5096.52060817549,201.0625
27083,0,0,16500.5696341616,5617.21519460821,2.9375
27084,0,0,0,0,0
27085,0,0,0,0,0
27086,0,0,137039.281633691,5347.8744052172,25.625
27087,0,0,919672.59896325,5356.6660296367,171.6875
27716,0,0,0,0,0
27717,0,0,0,0,0
27718,0,0,0,0,0
27724,0,0,289152.263618493,5039.69086916764,57.375
27726,0,0,0,0,0
27728,0,0,1140771.84490494,5115.56881123291,223
27730,0,0,88549.4716311128,5114.77092454081,17.3125
27731,0,0,699902.59778692,5122.80034976703,136.625
27733,0,0,0,0,0
27734,0,0,0,0,0
27735,0,0,0,0,0
27736,0,0,569568.922397439,5503.08137582067,103.5
28367,0,0,0,0,0
28374,0,0,711627.710304323,5035.84403576699,141.3125
28379,0,0,317788.456797874,5898.62564822041,53.875
28380,0,0,0,0,0
28381,0,0,768438.357182856,6041.77578129027,127.1875
28382,0,0,3534.34487712445,5140.86527581738,0.6875
28383,0,0,0,0,0
28384,0,0,0,0,0
28385,0,0,0,0,0
28386,0,0,157788.7349856,5382.98456240854,29.3125
28387,0,0,1311039.53034754,4745.84445374675,276.25
29029,0,0,0,0,0
29030,1,0.131147540983607,47984.5125269213,6293.0508232028,7.625
29031,0,0,731773.612534125,7677.62478724328,95.3125
29032,0,0,0,0,0
29033,0,0,102233.795875689,4987.01443296045,20.5
29034,0,0,164075.808007528,5335.79863439116,30.75
29035,0,0,427372.562128692,6390.61775145708,66.875
29036,0,0,66929.0203059178,5004.03890137704,13.375
29037,0,0,448042.345076783,4947.32748186924,90.5625
29038,0,0,1049337.02404466,4726.74335155254,222
29679,0,0,0,0,0
29680,0,0,58148.7726748446,5111.98001537095,11.375
29681,0,0,9948.59228919511,6122.21063950468,1.625
29682,0,0,0,0,0
29683,0,0,149588.137669489,4914.60000556844,30.4375
29684,0,0,1123252.29470233,4995.00742502425,224.875
29688,0,0,8876.12010760558,4733.93072405631,1.875
30332,0,0,0,0,0
30333,0,0,0,0,0
30336,0,0,160847.928603448,5361.59762011494,30
30920,0,0,1273563.43638142,5666.57813740343,224.75
30921,0,0,3225833.22245811,8686.1884145624,371.375
30922,0,0,3777076.03884349,9998.87766735535,377.75
30923,0,0,2762359.21316583,10004.0170689573,276.125
30985,0,0,91039.1790044626,4481.92881252739,20.3125
30986,0,0,338714.275947757,4843.09956672396,69.9375
31569,0,0,204747.027429884,4679.9320555402,43.75
31570,0,0,1754443.09778361,5343.82059100282,328.3125
31571,0,0,3580722.0934262,9240.57314432569,387.5
31572,4,0.0110707490053624,3619383.74226083,10017.3222411647,361.3125
31573,0,0,3425362.15873797,9744.98480437544,351.5
31636,0,0,172465.429336917,3881.07857860854,44.4375
31646,0,0,0,0,0
32221,0,0,2444867.80859925,9011.26121575399,271.3125
32222,0,0,3159921.1746178,7945.73924153463,397.6875
32223,0,0,2537250.99872296,8106.23322275705,313
32294,0,0,246350.537486714,2893.98575608475,85.125
32295,0,0,325970.120288697,3106.32633985655,104.9375
32312,0,0,270762.514941091,2539.39052699733,106.625
32313,0,0,315579.386863579,2620.27513742463,120.4375
32872,0,0,2295497.83088098,5763.05747592903,398.3125
32873,0,0,1590567.60056942,5675.53113494888,280.25
32943,0,0,488873.026061313,3571.67507624704,136.875
32944,0,0,21609.5535741783,2980.62807919701,7.25
32945,0,0,51815.820377844,2691.73092871917,19.25
32946,0,0,891520.785282398,3987.79216229197,223.5625
32954,0,0,97284.8269116516,2326.69242240124,41.8125
32955,0,0,1966.83072384676,2420.71473704217,0.8125
32956,0,0,56196.9064100366,2091.04768037345,26.875
32960,0,0,0,0,0
32961,0,0,0,0,0
32962,0,0,0,0,0
32963,0,0,0,0,0
32964,0,0,3956.57120045378,3331.84943196108,1.1875
32965,0,0,412456.62755906,4408.3540687675,93.5625
32966,0,0,102478.511711878,3822.04239484858,26.8125
33522,0,0,2232423.69326961,5718.66460011428,390.375
33523,0,0,2074259.9229823,5889.64663136057,352.1875
33592,0,0,340798.403332389,2551.60245826777,133.5625
33593,0,0,281998.572985774,2736.18991374917,103.0625
33594,0,0,0,0,0
33595,0,0,0,0,0
33596,0,0,256262.624096161,3137.10939979998,81.6875
33604,0,0,23154.5789784513,2002.55818192012,11.5625
33605,0,0,0,0,0
33606,0,0,0,0,0
33607,0,0,0,0,0
33608,0,0,0,0,0
33610,0,0,9053.84942796497,1906.0735637821,4.75
33611,0,0,0,0,0
33612,0,0,0,0,0
33613,0,0,0,0,0
33614,0,0,0,0,0
33615,0,0,400288.507442571,5386.55687054763,74.3125
33617,0,0,50739.6663312089,4142.01357805787,12.25
34241,0,0,506950.197231201,3804.50429441802,133.25
34242,0,0,74291.4974123475,2720.05482516604,27.3125
34243,0,0,461.332068143926,2460.4376967676,0.1875
34244,3,0.0591133004926108,170867.38098099,3366.84494543822,50.75
34245,0,0,0,0,0
34246,0,0,0,0,0
34247,0,0,124867.467681922,3679.33606429237,33.9375
34248,0,0,372983.670424185,2964.5994668589,125.8125
34254,0,0,35922.260858317,1872.16994701327,19.1875
34255,0,0,0,0,0
34256,0,0,0,0,0
34257,0,0,0,0,0
34258,0,0,0,0,0
34259,0,0,0,0,0
34260,0,0,4204.68695366989,2102.34347683494,2
34261,0,0,0,0,0
34262,0,0,0,0,0
34263,0,0,0,0,0
34264,0,0,0,0,0
34265,0,0,85213.8636226706,3408.55454490682,25
34266,0,0,817318.140888849,4071.32324228568,200.75
34267,0,0,742544.158812662,3957.59711559047,187.625
34268,0,0,220812.577872305,4065.59406899526,54.3125
34892,0,0,239522.995187442,3950.89476597842,60.625
34893,0,0,403600.878944146,4100.07242101989,98.4375
34894,0,0,0,0,0
34895,0,0,0,0,0
34896,0,0,0,0,0
34897,0,0,0,0,0
34898,0,0,238435.543463188,2618.37247454428,91.0625
34903,0,0,90258.9927546858,1789.52154160468,50.4375
34904,0,0,635.538589092483,2033.72348509595,0.3125
34905,0,0,0,0,0
34906,0,0,0,0,0
34907,0,0,0,0,0
34909,0,0,0,0,0
34910,0,0,0,0,0
34911,0,0,0,0,0
34912,0,0,0,0,0
34913,0,0,0,0,0
34914,0,0,0,0,0
34915,0,0,0,0,0
34916,1,0.380952380952381,9450.91894325941,3600.35007362263,2.625
34917,0,0,101098.248054339,3676.29992924867,27.5
34918,0,0,30743.816915938,3590.51876390517,8.5625
35544,0,0,213609.681254202,3667.11899148845,58.25
35545,0,0,0,0,0
35546,0,0,0,0,0
35547,0,0,0,0,0
35548,0,0,15703.2036896733,2761.00284653596,5.6875
35549,0,0,8649.44097173411,2427.91325522361,3.5625
35550,0,0,0,0,0
35553,0,0,13792.6146550672,1737.65224000846,7.9375
35554,0,0,0,0,0
35555,0,0,0,0,0
35556,0,0,0,0,0
35557,0,0,0,0,0
35558,0,0,0,0,0
35559,0,0,0,0,0
35560,0,0,0,0,0
35561,0,0,0,0,0
35562,0,0,0,0,0
35563,0,0,0,0,0
35564,0,0,0,0,0
35565,0,0,0,0,0
35566,0,0,94315.9017096495,3525.82810129531,26.75
35567,0,0,380899.570561353,3393.31465978934,112.25
36195,0,0,309745.335954418,3189.14116812785,97.125
36196,0,0,92106.8496689155,2850.50211741325,32.3125
36197,0,0,0,0,0
36198,0,0,0,0,0
36199,0,0,0,0,0
36202,0,0,10081.5340417634,1920.29219843112,5.25
36203,0,0,10673.3676937452,1566.73287247636,6.8125
36204,0,0,0,0,0
36205,0,0,0,0,0
36206,0,0,0,0,0
36207,0,0,0,0,0
36208,1,0.0683760683760684,35781.076857725,2446.56935779316,14.625
36209,0,0,0,0,0
36210,0,0,0,0,0
36211,0,0,0,0,0
36212,0,0,0,0,0
36213,0,0,329.226485130109,2633.81188104088,0.125
36214,0,0,51305.7520258931,2910.96465395138,17.625
36215,0,0,176761.175887411,3149.41961492047,56.125
36776,0,0,1157249.21138794,6582.29199509671,175.8125
36846,0,0,276379.10412113,3167.66881514189,87.25
36847,0,0,0,0,0
36848,0,0,0,0,0
36849,0,0,0,0,0
36851,0,0,269877.782171522,2046.46659466557,131.875
36852,0,0,70785.5006797179,2789.57638146672,25.375
36853,0,0,0,0,0
36854,0,0,0,0,0
36855,0,0,0,0,0
36856,0,0,0,0,0
36857,0,0,0,0,0
36858,0,0,0,0,0
36859,0,0,0,0,0
36860,0,0,0,0,0
36861,4,0.0836601307189542,134938.813792771,2822.24970024095,47.8125
36862,3,0.0441582336706532,200871.020650439,2956.70315584823,67.9375
36863,3,0.0240722166499498,388250.758781287,3115.35212663019,124.625
36864,0,0,197024.914644293,2968.36029595921,66.375
37426,0,0,798253.771574866,5187.67682583179,153.875
37427,0,0,741216.374073717,5065.98119828256,146.3125
37473,0,0,157624.95718473,3597.71656912365,43.8125
37474,0,0,596676.954390293,4721.47936213881,126.375
37496,0,0,235044.790226307,3307.57840248102,71.0625
37497,0,0,542.141317135569,2891.42035805637,0.1875
37498,0,0,107442.215622772,2561.96043213764,41.9375
37499,0,0,223566.185002477,2378.36367023912,94
37500,0,0,59679.8121591126,1846.9574362588,32.3125
37501,0,0,7489.66942861026,1641.57138161321,4.5625
37502,0,0,2710.89614015539,2168.71691212431,1.25
37503,0,0,0,0,0
37504,0,0,0,0,0
37505,0,0,0,0,0
37506,0,0,0,0,0
37507,0,0,0,0,0
37508,0,0,0,0,0
37509,0,0,0,0,0
37510,0,0,0,0,0
37511,0,0,7496.2354655667,2855.70874878731,2.625
37512,1,0.10958904109589,26146.0547499563,2865.32106848836,9.125
37513,0,0,12857.9717293683,2780.1019955391,4.625
37514,0,0,0,0,0
37515,0,0,0,0,0
38026,0,0,1001344.83264909,4847.66030934509,206.5625
38077,0,0,1376901.37737824,4612.73493259042,298.5
38078,0,0,904309.313346051,4254.32196810844,212.5625
38120,0,0,0,0,0
38121,0,0,77519.38306228,3464.55343295106,22.375
38122,0,0,252034.862158194,3403.0023582541,74.0625
38123,0,0,1783.97465717563,3567.94931435126,0.5
38124,0,0,928623.847316954,5184.22245536332,179.125
38125,0,0,439633.175582441,4371.74071430644,100.5625
38126,0,0,0,0,0
38127,0,0,64285.1802637626,3940.85396252951,16.3125
38146,0,0,352669.473035718,3557.82570527836,99.125
38147,0,0,266325.430596758,3329.06788245947,80
38150,0,0,79314.9219830902,2638.33420317972,30.0625
38151,0,0,0,0,0
38152,0,0,0,0,0
38153,0,0,0,0,0
38154,0,0,0,0,0
38155,0,0,0,0,0
38156,0,0,0,0,0
38157,0,0,0,0,0
38158,0,0,0,0,0
